,labels,C_CODE,C_NAME,C_CATEGORY,C_MARKET
133,5,004370,농심,음식료품,KOSPI
134,5,007310,오뚜기,음식료품,KOSPI
135,4,294870,HDC현대산업개발,건설업,KOSPI
136,7,051600,한전KPS,건설업,KOSPI
137,1,111770,영원무역,유통업,KOSPI
138,5,013890,지누스,제조업,KOSPI
139,7,004000,롯데정밀화학,화학,KOSPI
140,3,000240,한국앤컴퍼니,금융업,KOSPI
141,2,016380,KG동부제철,철강금속,KOSPI
142,5,185750,종근당,의약품,KOSPI
143,1,192820,코스맥스,화학,KOSPI
144,7,000150,두산,서비스업,KOSPI
145,5,010780,아이에스동서,비금속광물,KOSPI
146,5,003000,부광약품,의약품,KOSPI
147,0,005250,녹십자홀딩스,서비스업,KOSPI
148,7,006650,대한유화,화학,KOSPI
149,4,000210,DL,금융업,KOSPI
150,2,000670,영풍,철강금속,KOSPI
151,5,001740,SK네트웍스,유통업,KOSPI
152,5,009420,한올바이오파마,의약품,KOSPI
153,4,020560,아시아나항공,운수창고업,KOSPI
154,1,031430,신세계인터내셔날,유통업,KOSPI
155,5,032350,롯데관광개발,서비스업,KOSPI
156,7,042670,두산인프라코어,기계,KOSPI
157,5,093370,후성,화학,KOSPI
158,9,014820,동원시스템즈,화학,KOSPI
159,1,079160,CJ CGV,서비스업,KOSPI
160,5,192080,더블유게임즈,서비스업,KOSPI
161,1,161890,한국콜마,화학,KOSPI
162,5,003850,보령제약,의약품,KOSPI
163,6,005300,롯데칠성음료,음식료품,KOSPI
164,3,004490,세방전지,전기전자,KOSPI
165,3,003240,태광산업,화학,KOSPI
166,2,001120,LX인터내셔널,유통업,KOSPI
167,3,214320,이노션,서비스업,KOSPI
168,5,006120,SK디스커버리,금융업,KOSPI
169,6,005440,현대그린푸드,유통업,KOSPI
170,5,003520,영진약품,의약품,KOSPI
171,6,002350,넥센타이어,화학,KOSPI
172,5,001800,오리온홀딩스,금융업,KOSPI
173,6,001680,대상,음식료품,KOSPI
174,0,000070,삼양홀딩스,금융업,KOSPI
175,1,020000,한섬,섬유의복,KOSPI
176,6,284740,쿠쿠홈시스,서비스업,KOSPI
177,1,241590,화승엔터프라이즈,제조업,KOSPI
178,5,192400,쿠쿠홀딩스,금융업,KOSPI
179,1,114090,GKL,서비스업,KOSPI
180,2,103140,풍산,철강금속,KOSPI
181,3,079550,LIG넥스원,기계,KOSPI
182,7,069260,휴켐스,화학,KOSPI
183,6,057050,현대홈쇼핑,유통업,KOSPI
184,1,071840,롯데하이마트,유통업,KOSPI
185,6,049770,동원F&B,음식료품,KOSPI
186,3,064960,SNT모티브,운수장비,KOSPI
187,6,006040,동원산업,없음,KOSPI
188,1,105630,한세실업,섬유의복,KOSPI
189,5,108670,LX하우시스,화학,KOSPI
190,5,007570,일양약품,의약품,KOSPI
191,5,001060,JW중외제약,의약품,KOSPI
192,5,115390,락앤락,화학,KOSPI
193,5,003230,삼양식품,음식료품,KOSPI
194,1,007700,F&F 홀딩스,섬유의복,KOSPI
