,name,sales,profit,market,min_max_profit,min_max_sales
0,마니커,215406024555,-35053705319,KOSPI,0.09182139030720049,0.001412122937281788
1,엔케이물산,28363441760,1314848025,KOSPI,0.09343359218000864,0.00028760038722912176
2,삼부토건,376331921995,8997259122,KOSPI,0.09377415006365922,0.002379628827408858
3,대덕전자,614383245689,-12020073671,KOSPI,0.09284246100333818,0.0038108220752971433
4,이아이디,77994442466,-20190067595,KOSPI,0.09248028878877367,0.0005859879449797878
5,인스코비,28795939799,7571406030,KOSPI,0.09371094262718165,0.0002902006175640616
6,동양피스톤,266029253046,1307016971,KOSPI,0.09343324503285089,0.0017164758880587267
7,미래아이앤지,5772566444,24275913145,KOSPI,0.09445144603407846,0.00015178132218705557
8,신원,690237640165,-15193436771,KOSPI,0.09270178722166397,0.0042668678368248366
9,대한해운,500046203876,-44429943031,KOSPI,0.09140574583940439,0.0031234140000678157
10,이수페타시스,335067412097,-62864957,KOSPI,0.09337251877330029,0.0021315416207216497
11,금호에이치티,181173914349,-9154529670,KOSPI,0.09296948930059622,0.0012063153650845758
12,HMM,6223944000000,59667000000,KOSPI,0.09602031725006155,0.03753617739198918
13,쌍방울,89571692944,-34011885242,KOSPI,0.09186757373009832,0.000655591770138617
14,LG디스플레이,22799273000000,-1202769000000,KOSPI,0.04005708813151275,0.13718905299128922
15,동양철관,147757879740,6300202207,KOSPI,0.0936545907243502,0.0010054141377295964
16,대한전선,1448315791000,15881848000,KOSPI,0.09407934084146223,0.008824525042887393
17,범양건영,149130151175,13831526278,KOSPI,0.09398845098701018,0.0010136643989823613
18,사조동아원,391913286722,13743632140,KOSPI,0.09398455467877509,0.002473305870006749
19,보해양조,78562428583,1193301863,KOSPI,0.09342820409244422,0.0005894027459686268
20,후성,237239900296,13226857544,KOSPI,0.09396164628966183,0.0015433908296457013
21,남선알미늄,268474785986,-2642503535,KOSPI,0.09325816453690046,0.001731178726828552
22,한솔로지스틱스,342734897569,7205284659,KOSPI,0.09369471262885265,0.0021776394674612623
23,두산중공업,3451444902650,-2106389304062,KOSPI,0.0,0.020867578678359356
24,아남전자,224335479,6043109,KOSPI,0.09337557343736697,0.00011842468895514028
25,국동,167078106216,4878906329,KOSPI,0.09359158530715221,0.001121569667768435
26,명신산업,148453325397,-132639991728,KOSPI,0.08749543342294244,0.0010095952408342827
27,삼성중공업,6825532312130,-1413222320288,KOSPI,0.030727785590998476,0.04115299882767132
28,삼아알미늄,155606892441,4332179042,KOSPI,0.09356734912850415,0.0010526033480475383
29,대유플러스,104126788993,4643698948,KOSPI,0.09358115866805662,0.0007430987617589258
30,KEC,190463285862,-45196541320,KOSPI,0.09137176287655384,0.0012621641861716667
31,TYM,387284201393,6229756009,KOSPI,0.09365146787557276,0.0024454752511134897
32,디피씨,39636662267,-979267306,KOSPI,0.09333189506277408,0.00035537634756074166
33,한솔홈데코,248115961496,2442031287,KOSPI,0.0934835597151153,0.0016087790203581735
34,한국전자홀딩스,-19473321707,-10158858365,KOSPI,0.09292496785406854,0.0
35,유니켐,117550682197,9803919829,KOSPI,0.09380990897576784,0.0008238048255430293
36,대원제약,306358567294,23726450796,KOSPI,0.09442708861134248,0.00195894058578877
37,대창,421320231752,3738897964,KOSPI,0.09354104924090603,0.0026501039676390817
