,name,sales,profit,market,min_max_profit,min_max_sales
64,우진비앤지,25409675659,-5561780761,KOSDAQ,0.0931287542695608,0.00019347609971451937
65,에스에이엠티,1240458342248,34446386226,KOSDAQ,0.09490229860424917,0.007499053125224156
66,홈센타홀딩스,18145627382,1260589667,KOSDAQ,0.09343118693101356,0.00014980043003651235
67,에이루트,20862301190,-17786576458,KOSDAQ,0.09258683448707784,0.0001661346480010031
68,에스엠코어,104035816132,195908588,KOSDAQ,0.09338399009001548,0.0006662220408763484
69,모트렉스,235113949860,-24326704624,KOSDAQ,0.09229691350017749,0.0014543397752863011
70,오픈베이스,60405505310,2903754840,KOSDAQ,0.09350402771585828,0.00040389131691295543
71,SDN,78729509381,8672307544,KOSDAQ,0.09375974510403191,0.0005140658529932657
72,시너지이노베이션,20602616811,-24432790606,KOSDAQ,0.09229221075554969,0.00016457327495869364
73,비트컴퓨터,35750730270,8121023980,KOSDAQ,0.09373530694764108,0.0002556525154113045
74,나노엔텍,27440477723,1969714179,KOSDAQ,0.09346262210676792,0.0002056864591100533
75,에이치엘비생명과학,14824117783,-43776584101,KOSDAQ,0.09143470895159087,0.00012982958863426246
76,씨티씨바이오,98624268919,-14249499026,KOSDAQ,0.09274363156410755,0.0006336846816093007
77,제이엠아이,12780625125,-7413288395,KOSDAQ,0.09304667775563354,0.00011754292603004577
78,에코프로,101777271536,192410422367,KOSDAQ,0.10190477441058668,0.0006526423613414152
79,인베니아,141250255982,-5516108238,KOSDAQ,0.09313077891229048,0.0008899768288624114
80,아난티,59133612269,-8138187352,KOSDAQ,0.09301454330571418,0.00039624395855214153
81,파인텍,63760475680,-28045274365,KOSDAQ,0.09213207094941936,0.0004240633438698216
82,에스맥,97622233098,10314747260,KOSDAQ,0.0938325537296889,0.0006276598613087395
83,영우디에스피,101611716397,7218566892,KOSDAQ,0.09369530142436275,0.0006516469478627693
84,우리기술,33130236822,-1668013879,KOSDAQ,0.0933013632320362,0.00023989658953308364
85,KMH하이텍,74741113468,1276417504,KOSDAQ,0.09343188857202228,0.0004900853044342956
86,한국정보인증,45725171294,10711609916,KOSDAQ,0.09385014647557569,0.0003156246376735346
87,코디엠,27963850016,-7526109505,KOSDAQ,0.09304167644576251,0.00020883327676819935
88,대아티아이,113380720555,7756707225,KOSDAQ,0.09371915694714063,0.0007224090241104488
89,엠케이전자,476530542040,10715964476,KOSDAQ,0.09385033951129314,0.002905876292221239
90,인성정보,105395601770,-6586901310,KOSDAQ,0.0930833111293479,0.0006743978604873262
91,서희건설,1258385234169,172134269475,KOSDAQ,0.10100594152722647,0.007606839992827174
92,제이씨케미칼,234687923840,13145763580,KOSDAQ,0.09395805143013036,0.0014517782598593358
93,서린바이오,60880233600,5571273784,KOSDAQ,0.09362227764998653,0.00040674565862300365
94,광진윈텍,81603990002,1992191332,KOSDAQ,0.0934636185090119,0.0005313488970082867
95,신성델타테크,130275196404,9013946010,KOSDAQ,0.09377488978601854,0.0008239884077305051
96,세종텔레콤,253481518452,19530627082,KOSDAQ,0.09424108960319663,0.0015647762465240223
97,KNN,49817040671,7583674001,KOSDAQ,0.09371148646090621,0.00034022732868830473
98,유진로봇,24636972812,-9457825833,KOSDAQ,0.09295604431593105,0.00018883016221274312
99,팍스넷,-6768874530,-9976160028,KOSDAQ,0.09293306679048441,0.0
100,한국선재,152868934222,2277701464,KOSDAQ,0.09347627504679502,0.0009598350585374575
101,시그네틱스,201306717993,-42139818644,KOSDAQ,0.09150726603985784,0.0012510710970719693
102,한송네오텍,19347175084,-1376715814,KOSDAQ,0.09331427634632744,0.0001570248314355341
103,바이오로그디바이스,73370440676,-5388320955,KOSDAQ,0.09313644366598647,0.0004818440249414854
104,시스웍,18772442685,1904547115,KOSDAQ,0.09345973327966413,0.00015356920704335435
105,엠로,40302325323,3848813224,KOSDAQ,0.0935459217357327,0.00028301934372277314
106,에이치엘비,48730105339,-60065222219,KOSDAQ,0.09071264083326505,0.0003336920433058964
107,초록뱀미디어,25261190618,-44263742569,KOSDAQ,0.09141311343232357,0.0001925833215616848
108,이루온,21501698757,397625478,KOSDAQ,0.09339293211046812,0.000169979076873762
109,아이에이,45467368369,14692007538,KOSDAQ,0.09402659574041201,0.00031407457702347323
110,인터파크,169181557263,-5315246384,KOSDAQ,0.09313968302937568,0.001057916005738266
111,올리패스,269816427,-22047894766,KOSDAQ,0.09239793213256825,4.232069081601276e-05
112,GH신소재,48737551445,-1790785448,KOSDAQ,0.09329592082272183,0.0003337368136121556
113,에스엘바이오닉스,28633745199,-1205856672,KOSDAQ,0.09332185045646905,0.0002128610749897827
114,판타지오,9143393519,-9167526705,KOSDAQ,0.09296891314778723,9.567378087732792e-05
115,삼강엠앤티,368686071083,4937562677,KOSDAQ,0.09359418551709742,0.002257452808441389
116,이랜텍,137625197627,-6775173179,KOSDAQ,0.09307496512072534,0.0008681808763523234
117,카카오게임즈,378003049928,99447151669,KOSDAQ,0.09778375376662386,0.002313471886910297
118,에이비프로바이오,24998301183,-49199267795,KOSDAQ,0.0911943237835469,0.00019100267786452592
119,HB테크놀러지,243262950198,6495204198,KOSDAQ,0.09366323507630223,0.001503336289818752
120,원방테크,162716871058,9949348341,KOSDAQ,0.09381635575733731,0.0010190465642788053
121,제넨바이오,11845684651,-19449528517,KOSDAQ,0.09251311655833454,0.00011192152185514296
122,지나인제약,41937565619,-42498693966,KOSDAQ,0.09149135725567387,0.00029285135643645496
123,아이엠,21368085097,-12891894894,KOSDAQ,0.09280381355439568,0.00016917571408539688
124,SM C&C,130340366829,-11539590447,KOSDAQ,0.09286376061199345,0.0008243802501090982
125,상지카일룸,17160039495,-937822236,KOSDAQ,0.09333373230438335,0.0001438745042510859
