,corp_code,corp_name,stock_code,modify_date
36216,00666754,세우엔지니어링, ,20180430
36217,01111923,플라스코에스, ,20180509
36218,01120091,메디헬프라인, ,20180509
36219,01135491,델타, ,20180509
36220,01149014,피에이치아이, ,20180509
36221,00931320,산업기반신보제일차유동화전문유한회사, ,20180430
36222,01289923,동헌알앤에이, ,20180430
36223,01292264,트루쇼트, ,20180423
36224,01236675,디에스운중, ,20180424
36225,01260690,엠에스유니티제일차, ,20180424
36226,01173181,피날레동삭제사차, ,20180202
36227,01173190,피날레동삭제오차, ,20180202
36228,00431644,공주환경, ,20180226
36229,01092840,파레토자산운용, ,20180226
36230,00381905,인터넷빛고을, ,20180226
36231,01044746,예교람제오차, ,20180424
36232,01293139,한국광채뉴글로벌, ,20180424
36233,00760209,씨앤디포, ,20180502
36234,01208469,인화개발, ,20180502
36235,01279403,비엔에스투자자문, ,20180308
36236,01050604,에이치디에스퍼스트, ,20180308
36237,00867663,인터아이디, ,20180308
36238,01279476,디오홀딩스, ,20180308
36239,01292307,피엔씨벨리, ,20180423
36240,01087468,엠디레몬트리, ,20180502
36241,01135172,에스러셀제십차, ,20180112
36242,01205277,써니모아제구차, ,20180112
36243,01243514,슈퍼애시드, ,20180227
36244,00877332,아즈텍, ,20180227
36245,01295881,씨제이알홀딩스, ,20180426
36246,01258817,에프엔검단, ,20180426
36247,00673204,그린로드, ,20180426
36248,01085211,보부식품, ,20180309
36249,00474852,MassachusettsFinancialServicesCompany, ,20180309
36250,01279500,엔비포스텍, ,20180309
36251,00141352,PCA생명보험, ,20180309
36252,01283619,씨이에스제일차, ,20180412
36253,01097915,피에이엘엠제일차, ,20180502
36254,01255184,월성, ,20180502
36255,00867326,한울, ,20180502
36256,01222450,에이치아이에이치, ,20180502
36257,01273205,유플러스엘티이제삼십칠차유동화전문유한회사, ,20180112
36258,01278042,키스톤하이테크제1호사모투자, ,20180227
36259,01294828,용재, ,20180426
36260,01294837,제이에스, ,20180426
36261,01276433,코스메틱플랫폼1호, ,20180209
36262,01276442,연우앤컴퍼니, ,20180209
36263,01182125,케이파트너스제십삼차, ,20180209
36264,01265729,아이코스제일차, ,20180309
36265,01027040,선일섬유, ,20180412
36266,00615431,지석디앤씨, ,20180502
36267,01271775,유알엘제일차, ,20180112
36268,01272622,네오카본제오차, ,20180112
36269,01272613,네오카본제육차, ,20180112
36270,01117945,더그레이트앤코, ,20180112
36271,01117972,아이비에스제사십이차, ,20180112
36272,01274082,아이비케이에이아이제이차, ,20180122
36273,01292185,새롬상가, ,20180425
36274,01295979,유진에너팜, ,20180426
36275,01296057,롯데미래전략연구소, ,20180426
36276,01265969,더블유한남제일차, ,20180309
36277,01265996,엘앤티한남제일차, ,20180309
36278,01233298,에스피티이엔지, ,20180412
36279,01301650,한국과학기술, ,20180502
36280,01215539,류진시티, ,20180502
36281,01290673,은성이엔디, ,20180502
36282,01136205,혜산에스티, ,20180502
36283,00921059,세진하이테크, ,20180502
36284,01208894,와이제이제일차, ,20180112
36285,01177901,디에스무계, ,20180112
36286,01064652,하이검단제일차, ,20180112
36287,00498162,한국주택금융공사, ,20180117
36288,01241473,오포물류제일차, ,20180205
36289,01275771,해동파트너스, ,20180205
36290,00983411,코지, ,20180205
36291,01035304,코오롱하이드로제닉스, ,20180228
36292,01278228,티월드제이십이차유동화전문유한회사, ,20180228
36293,01274091,왜관농업협동조합, ,20180122
36294,01277283,오스티오뉴로젠, ,20180220
36295,01295757,유진주택, ,20180426
36296,01276406,라움자산운용, ,20180209
36297,01276512,UBS(Lux)에쿼티펀드, ,20180209
36298,01276521,UBS(Lux)채권형펀드, ,20180209
36299,01276530,UBS(Lux)채권형시캐브, ,20180209
36300,01276549,UBS(Lux)신흥경제펀드, ,20180209
36301,01276558,UBS(Lux)에쿼티시캐브, ,20180209
36302,00933939,아이비케이베스트제일차, ,20180309
36303,01159376,에프엘모바일코리아, ,20180309
36304,00634968,엘지엔시스, ,20180411
36305,01029808,청우, ,20180412
36306,01076806,생보우투신영임대주택제2호기업구조조정부동산투자회사, ,20180412
36307,01142039,성진기업, ,20180502
36308,01089828,유진기업인수목적3호,221200,20180417
36309,01004100,케이티앤티리얼코, ,20180502
36310,01302109,소시어스웰투시인베스트먼트제1호기업재무안정사모투자, ,20180502
36311,01155051,일원디앤씨, ,20180502
36312,01080100,신한엔지니어링, ,20180502
36313,01299799,반석종합개발, ,20180502
36314,00656191,태현철강, ,20180502
36315,01277432,제이앤케이제이차, ,20180228
36316,01269169,데이비드토이, ,20180228
36317,00757551,이앤비원, ,20180228
36318,01119280,SINCETIMESHKSCIENCECOMPANYLIMITED, ,20180329
36319,01295100,이안네트워크, ,20180425
36320,01119758,"PROMETHEUSCAPITAL(INTERNATIONAL)CO.,LTD", ,20180426
36321,01254820,한류, ,20180502
36322,01166701,동인커머스, ,20180411
36323,00885386,DIC, ,20180411
36324,01105898,영통프로젝트제일차, ,20180411
36325,00984085,현대개발, ,20180502
36326,01267790,신세계면세점글로벌, ,20180117
36327,01302242,함샤우트, ,20180502
36328,00614964,명관산업, ,20180502
36329,01301599,태림개발, ,20180502
36330,01268984,셈스게임즈, ,20180118
36331,01087079,한화에이스기업인수목적2호,219860,20180302
36332,01293616,국제자산운용, ,20180424
36333,00870287,서울마리나, ,20180426
36334,01224421,와이엠, ,20180426
36335,01218183,디오스텍, ,20180502
36336,00545822,삼성미트통상, ,20180502
36337,01285750,한국대안투자자산운용, ,20180411
