,labels,C_CODE,C_NAME,C_CATEGORY,C_MARKET
133,9,007310,오뚜기,음식료품,KOSPI
134,2,294870,HDC현대산업개발,건설업,KOSPI
135,6,051600,한전KPS,건설업,KOSPI
136,6,073240,금호타이어,화학,KOSPI
137,9,013890,지누스,제조업,KOSPI
138,1,000240,한국앤컴퍼니,금융업,KOSPI
139,7,004000,롯데정밀화학,화학,KOSPI
140,0,111770,영원무역,유통업,KOSPI
141,2,016380,KG동부제철,철강금속,KOSPI
142,9,185750,종근당,의약품,KOSPI
143,0,192820,코스맥스,화학,KOSPI
144,6,000150,두산,서비스업,KOSPI
145,2,010780,아이에스동서,비금속광물,KOSPI
146,9,003000,부광약품,의약품,KOSPI
147,5,005250,녹십자홀딩스,서비스업,KOSPI
148,7,006650,대한유화,화학,KOSPI
149,2,000210,DL,금융업,KOSPI
150,2,001740,SK네트웍스,유통업,KOSPI
151,9,009420,한올바이오파마,의약품,KOSPI
152,0,020560,아시아나항공,운수창고업,KOSPI
153,0,031430,신세계인터내셔날,유통업,KOSPI
154,0,032350,롯데관광개발,서비스업,KOSPI
155,6,042670,두산인프라코어,기계,KOSPI
156,7,093370,후성,화학,KOSPI
157,5,014820,동원시스템즈,화학,KOSPI
158,0,079160,CJ CGV,서비스업,KOSPI
159,3,192080,더블유게임즈,서비스업,KOSPI
160,2,214320,이노션,서비스업,KOSPI
161,2,000670,영풍,철강금속,KOSPI
162,9,003850,보령제약,의약품,KOSPI
163,5,004490,세방전지,전기전자,KOSPI
164,0,161890,한국콜마,화학,KOSPI
165,1,003240,태광산업,화학,KOSPI
166,2,001120,LX인터내셔널,유통업,KOSPI
167,2,005300,롯데칠성음료,음식료품,KOSPI
168,9,006120,SK디스커버리,금융업,KOSPI
169,3,006040,동원산업,없음,KOSPI
170,3,005440,현대그린푸드,유통업,KOSPI
171,9,003520,영진약품,의약품,KOSPI
172,2,001800,오리온홀딩스,금융업,KOSPI
173,3,001680,대상,음식료품,KOSPI
174,9,000070,삼양홀딩스,금융업,KOSPI
175,0,020000,한섬,섬유의복,KOSPI
176,3,284740,쿠쿠홈시스,서비스업,KOSPI
177,0,241590,화승엔터프라이즈,제조업,KOSPI
178,9,192400,쿠쿠홀딩스,금융업,KOSPI
179,0,114090,GKL,서비스업,KOSPI
180,2,103140,풍산,철강금속,KOSPI
181,1,079550,LIG넥스원,기계,KOSPI
182,7,069260,휴켐스,화학,KOSPI
183,9,057050,현대홈쇼핑,유통업,KOSPI
184,0,002350,넥센타이어,화학,KOSPI
185,0,105630,한세실업,섬유의복,KOSPI
186,2,108670,LX하우시스,화학,KOSPI
187,0,071840,롯데하이마트,유통업,KOSPI
188,3,049770,동원F&B,음식료품,KOSPI
189,1,064960,SNT모티브,운수장비,KOSPI
190,9,001060,JW중외제약,의약품,KOSPI
191,9,115390,락앤락,화학,KOSPI
192,9,007570,일양약품,의약품,KOSPI
193,3,003230,삼양식품,음식료품,KOSPI
194,0,007700,F&F 홀딩스,섬유의복,KOSPI
