,날짜,종가,전일비,시가,고가,저가,거래량,등락률,카테고리,마켓,등락률그룹
이트론,2021-08-20,655,23,682,692,631,45847195,3.6392405063291138,코스닥 IT,KOSDAQ,2 ~ 4%
이아이디,2021-08-20,505,12,519,524,487,39171788,2.434077079107505,유통업,KOSPI,2 ~ 4%
대신정보통신,2021-08-20,2395,225,2185,2615,2185,37910376,10.368663594470046,코스닥 IT,KOSDAQ,8% 이상
시노펙스,2021-08-20,3630,490,3165,3930,3005,37441882,15.605095541401273,코스닥 IT,KOSDAQ,8% 이상
바이오로그디바이스,2021-08-20,5970,-290,6150,6580,5730,37020992,-4.63258785942492,코스닥 IT,KOSDAQ,-4 ~ -6%
서린바이오,2021-08-20,37800,4100,33500,42750,32750,27418177,12.166172106824925,유통,KOSDAQ,8% 이상
삼기,2021-08-20,6080,330,5790,6190,5400,25955393,5.739130434782608,제조업,KOSDAQ,4 ~ 6%
인바이오젠,2021-08-20,4450,-500,5300,5550,4430,23743614,-10.1010101010101,유통업,KOSPI,-8% 이하
삼성전자,2021-08-20,72700,-400,73500,73900,72500,22122910,-0.5471956224350205,전기전자,KOSPI,0 ~ -2%
인터파크,2021-08-20,9160,530,8700,9360,8550,20618613,6.1413673232908454,유통,KOSDAQ,6 ~ 8%
이노와이즈,2021-08-20,511,-894,500,610,450,20440126,-63.629893238434164,제조업,KOSDAQ,-8% 이하
DSC인베스트먼트,2021-08-20,5700,470,5530,6070,5450,20202247,8.98661567877629,금융,KOSDAQ,8% 이상
지나인제약,2021-08-20,622,-78,700,742,622,18974815,-11.142857142857142,제조업,KOSDAQ,-8% 이하
팍스넷,2021-08-20,63,-252,260,260,63,17827952,-80.0,금융,KOSDAQ,-8% 이하
신원,2021-08-20,2345,0,2380,2535,2310,17811286,0.0,섬유의복,KOSPI,0 ~ -2%
에이루트,2021-08-20,629,-77,706,724,627,16092905,-10.906515580736544,코스닥 IT,KOSDAQ,-8% 이하
판타지오,2021-08-20,109,0,109,113,108,15937275,0.0,오락·문화,KOSDAQ,0 ~ -2%
부광약품,2021-08-20,19300,950,18450,21600,17600,15822369,5.177111716621254,의약품,KOSPI,4 ~ 6%
한국전자인증,2021-08-20,11700,150,11500,12700,11350,14745702,1.2987012987012987,코스닥 IT,KOSDAQ,0 ~ 2%
대원제약,2021-08-20,19750,-900,22300,24350,19450,14446603,-4.358353510895883,의약품,KOSPI,-4 ~ -6%
