,날짜,종가,전일비,시가,고가,저가,거래량,등락률,카테고리,마켓,등락률그룹
바이오로그디바이스,2021-08-19,6260,440,6210,7120,6080,109504318,7.560137457044673,코스닥 IT,KOSDAQ,6 ~ 8%
지나인제약,2021-08-19,700,-135,635,835,620,77959550,-16.16766467065868,제조업,KOSDAQ,-8% 이하
삼기,2021-08-19,5750,755,5050,6380,5010,50787653,15.115115115115115,제조업,KOSDAQ,8% 이상
소프트센,2021-08-19,2510,105,2355,2750,2325,35080979,4.365904365904366,유통,KOSDAQ,4 ~ 6%
하림,2021-08-19,3105,70,3495,3515,3080,25440527,2.3064250411861615,제조업,KOSDAQ,2 ~ 4%
에이루트,2021-08-19,706,-2,705,766,678,23035478,-0.2824858757062147,코스닥 IT,KOSDAQ,0 ~ -2%
바이온,2021-08-19,1360,120,1255,1490,1235,22585584,9.67741935483871,유통,KOSDAQ,8% 이상
켐온,2021-08-19,4480,375,4180,4515,4160,22409916,9.135200974421437,기타서비스,KOSDAQ,8% 이상
DSC인베스트먼트,2021-08-19,5230,300,5750,6380,5170,22224556,6.085192697768763,금융,KOSDAQ,6 ~ 8%
신원,2021-08-19,2345,75,2265,2485,2240,22043961,3.303964757709251,섬유의복,KOSPI,2 ~ 4%
삼성전자,2021-08-19,73100,-800,73500,74400,73100,21915870,-1.0825439783491204,전기전자,KOSPI,0 ~ -2%
영화테크,2021-08-19,19300,4450,15300,19300,15050,20951394,29.96632996632997,제조업,KOSDAQ,8% 이상
판타지오,2021-08-19,109,-5,113,116,109,16892040,-4.385964912280701,오락·문화,KOSDAQ,-4 ~ -6%
이아이디,2021-08-19,493,-6,493,506,492,16256155,-1.2024048096192386,유통업,KOSPI,0 ~ -2%
멜파스,2021-08-19,3600,300,3485,3690,3275,15468287,9.090909090909092,코스닥 IT,KOSDAQ,8% 이상
인바이오젠,2021-08-19,4950,455,4630,4950,4550,15432698,10.122358175750835,유통업,KOSPI,8% 이상
SV인베스트먼트,2021-08-19,3820,60,4000,4560,3805,13411577,1.5957446808510638,금융,KOSDAQ,0 ~ 2%
빅텍,2021-08-19,7020,190,6790,7440,6730,12781741,2.781844802342606,제조업,KOSDAQ,2 ~ 4%
대한전선,2021-08-19,2400,-125,2505,2515,2395,11329445,-4.9504950495049505,전기전자,KOSPI,-4 ~ -6%
IBKS제14호스팩,2021-08-19,3895,275,3800,4500,3640,11046749,7.596685082872928,금융,KOSDAQ,6 ~ 8%
세종텔레콤,2021-08-19,586,-58,629,646,586,10686701,-9.006211180124224,코스닥 IT,KOSDAQ,-8% 이하
팍스넷,2021-08-19,315,-131,377,422,280,10290656,-29.372197309417043,금융,KOSDAQ,-8% 이하
비디아이,2021-08-19,1975,-65,1740,2450,1670,10120644,-3.1862745098039214,제조업,KOSDAQ,-2 ~ -4%
팬오션,2021-08-19,7730,-370,8170,8170,7700,10102181,-4.567901234567901,운수창고업,KOSPI,-4 ~ -6%
삼아알미늄,2021-08-19,17500,1900,15500,19500,15250,9454001,12.179487179487179,철강금속,KOSPI,8% 이상
켐트로스,2021-08-19,9110,540,8500,9710,8440,9387063,6.301050175029172,제조업,KOSDAQ,6 ~ 8%
카스,2021-08-19,5300,380,4900,5550,4855,9234822,7.723577235772358,유통,KOSDAQ,6 ~ 8%
두산중공업,2021-08-19,19500,-1400,20700,20750,19500,8802062,-6.698564593301436,기계,KOSPI,-6 ~ -8%
케이씨피드,2021-08-19,3140,120,3095,3690,3080,8675134,3.9735099337748347,제조업,KOSDAQ,2 ~ 4%
HMM,2021-08-19,38000,-2850,40350,40400,37850,8286550,-6.976744186046512,운수창고업,KOSPI,-6 ~ -8%
이트론,2021-08-19,632,-17,647,657,632,8283295,-2.6194144838212634,코스닥 IT,KOSDAQ,-2 ~ -4%
오리엔트정공,2021-08-19,947,14,941,993,915,7768353,1.5005359056806002,제조업,KOSDAQ,0 ~ 2%
이수페타시스,2021-08-19,4010,375,3605,4060,3575,7490340,10.31636863823934,전기전자,KOSPI,8% 이상
WI,2021-08-19,1970,10,1940,2025,1940,7172469,0.5102040816326531,제조업,KOSDAQ,0 ~ 2%
파워로직스,2021-08-19,9220,330,8900,9580,8900,7088480,3.712035995500562,코스닥 IT,KOSDAQ,2 ~ 4%
메디콕스,2021-08-19,1625,65,1555,1655,1525,7052043,4.166666666666666,제조업,KOSDAQ,4 ~ 6%
대덕전자,2021-08-19,17300,600,16450,17900,16450,6992044,3.592814371257485,전기전자,KOSPI,2 ~ 4%
한화플러스제1호스팩,2021-08-19,3580,35,3450,4040,3410,6947819,0.9873060648801129,금융,KOSDAQ,0 ~ 2%
시스웍,2021-08-19,2100,10,2070,2260,2065,6736094,0.4784688995215311,제조업,KOSDAQ,0 ~ 2%
인성정보,2021-08-19,2895,85,2775,3040,2775,6536538,3.0249110320284696,코스닥 IT,KOSDAQ,2 ~ 4%
하이스틸,2021-08-19,3460,90,3940,4020,3370,6525494,2.6706231454005933,철강금속,KOSPI,2 ~ 4%
피에이치씨,2021-08-19,2055,-10,2060,2220,1985,6522379,-0.48426150121065376,유통,KOSDAQ,0 ~ -2%
씨아이에스,2021-08-19,14450,-300,14600,15100,14000,6428741,-2.0338983050847457,제조업,KOSDAQ,-2 ~ -4%
에스엘바이오닉스,2021-08-19,751,-159,700,782,698,6421286,-17.47252747252747,코스닥 IT,KOSDAQ,-8% 이하
KEC,2021-08-19,2200,45,2180,2365,2170,6391821,2.088167053364269,전기전자,KOSPI,2 ~ 4%
디피씨,2021-08-19,13350,0,13800,14800,13350,6361581,0.0,전기전자,KOSPI,0 ~ -2%
KMH하이텍,2021-08-19,1965,-170,2100,2145,1940,6356142,-7.962529274004685,코스닥 IT,KOSDAQ,-6 ~ -8%
라온시큐어,2021-08-19,4665,70,4595,5100,4540,6349457,1.5233949945593037,코스닥 IT,KOSDAQ,0 ~ 2%
젬백스지오,2021-08-19,1060,84,957,1075,957,6248441,8.60655737704918,건설,KOSDAQ,8% 이상
TYM,2021-08-19,2140,-130,2240,2290,2110,6173783,-5.726872246696035,기계,KOSPI,-4 ~ -6%
SK하이닉스,2021-08-19,102500,-1500,103000,105500,101500,6117393,-1.4423076923076923,전기전자,KOSPI,0 ~ -2%
한솔로지스틱스,2021-08-19,4285,-480,4670,4690,4285,6039290,-10.073452256033578,운수창고업,KOSPI,-8% 이하
명신산업,2021-08-19,29900,-4650,30300,31950,29800,5910059,-13.45875542691751,운수장비,KOSPI,-8% 이하
코디엠,2021-08-19,265,-8,273,278,265,5766643,-2.93040293040293,코스닥 IT,KOSDAQ,-2 ~ -4%
SK증권,2021-08-19,865,-44,903,907,863,5656630,-4.84048404840484,금융업,KOSPI,-4 ~ -6%
