,날짜,종가,전일비,시가,고가,저가,거래량,등락률,카테고리,마켓,등락률그룹
이아이디,2021-08-10,529,23,575,577,527,104604770,4.545454545454546,유통업,KOSPI,4 ~ 6%
이트론,2021-08-10,714,37,784,792,710,98643937,5.465288035450517,코스닥 IT,KOSDAQ,4 ~ 6%
럭슬,2021-08-10,36,14,28,123,28,95483266,63.63636363636363,제조업,KOSDAQ,8% 이상
KMH하이텍,2021-08-10,2120,90,2085,2540,2080,65648266,4.433497536945813,코스닥 IT,KOSDAQ,4 ~ 6%
켐온,2021-08-10,4475,520,3920,4770,3920,61847322,13.147914032869783,기타서비스,KOSDAQ,8% 이상
코데즈컴바인,2021-08-10,3760,800,2925,3845,2925,59899189,27.027027027027028,제조업,KOSDAQ,8% 이상
지나인제약,2021-08-10,1595,35,1535,1830,1495,45186103,2.2435897435897436,제조업,KOSDAQ,2 ~ 4%
에이비프로바이오,2021-08-10,1275,110,1165,1315,1155,42285794,9.44206008583691,제조업,KOSDAQ,8% 이상
에이루트,2021-08-10,835,-59,895,916,830,41105751,-6.599552572706935,코스닥 IT,KOSDAQ,-6 ~ -8%
TYM,2021-08-10,2460,-210,2720,2870,2455,35332614,-7.865168539325842,기계,KOSPI,-6 ~ -8%
영우디에스피,2021-08-10,3060,70,3145,3290,3000,28667309,2.341137123745819,코스닥 IT,KOSDAQ,2 ~ 4%
보락,2021-08-10,2715,160,2540,2805,2440,25952024,6.262230919765166,화학,KOSPI,6 ~ 8%
아즈텍WB,2021-08-10,5150,-650,5770,6750,5090,24451923,-11.206896551724139,제조업,KOSDAQ,-8% 이하
시스웍,2021-08-10,2465,5,2545,2680,2440,23484970,0.20325203252032523,제조업,KOSDAQ,0 ~ 2%
판타지오,2021-08-10,115,-3,118,119,113,23210304,-2.5423728813559325,오락·문화,KOSDAQ,-2 ~ -4%
대한전선,2021-08-10,2600,-15,2605,2720,2550,22529281,-0.5736137667304015,전기전자,KOSPI,0 ~ -2%
아남전자,2021-08-10,3255,-225,3660,3695,3225,20803966,-6.4655172413793105,전기전자,KOSPI,-6 ~ -8%
코웰패션,2021-08-10,8200,690,7520,8770,7520,19410667,9.187749667110518,유통,KOSDAQ,8% 이상
샘씨엔에스,2021-08-10,8600,790,7900,9800,7790,18790321,10.115236875800255,코스닥 IT,KOSDAQ,8% 이상
신원,2021-08-10,2480,-55,2530,2640,2455,18254022,-2.1696252465483234,섬유의복,KOSPI,-2 ~ -4%
나노엔텍,2021-08-10,9530,1390,8150,9960,8070,17889406,17.076167076167074,제조업,KOSDAQ,8% 이상
삼성전자,2021-08-10,80300,-1200,82300,82400,80100,17235901,-1.4723926380368098,전기전자,KOSPI,0 ~ -2%
파인텍,2021-08-10,2030,-10,2050,2245,2010,16703466,-0.49019607843137253,코스닥 IT,KOSDAQ,0 ~ -2%
우리기술투자,2021-08-10,7760,260,7830,8500,7700,15714560,3.4666666666666663,금융,KOSDAQ,2 ~ 4%
시너지이노베이션,2021-08-10,5310,530,4830,5570,4780,15095780,11.08786610878661,제조업,KOSDAQ,8% 이상
세진티에스,2021-08-10,7700,310,8000,9450,7500,14593728,4.194857916102842,코스닥 IT,KOSDAQ,4 ~ 6%
바이오리더스,2021-08-10,10100,1680,8390,10900,8380,13431330,19.95249406175772,기타서비스,KOSDAQ,8% 이상
SK바이오사이언스,2021-08-10,302000,69500,239500,302000,238500,12097304,29.89247311827957,의약품,KOSPI,8% 이상
IBKS제14호스팩,2021-08-10,3795,410,3660,4250,3295,11897841,12.112259970457902,금융,KOSDAQ,8% 이상
영흥,2021-08-10,1205,50,1295,1320,1190,11776188,4.329004329004329,철강금속,KOSPI,4 ~ 6%
HB테크놀러지,2021-08-10,3545,70,3440,3680,3360,11735226,2.014388489208633,제조업,KOSDAQ,2 ~ 4%
윈팩,2021-08-10,2685,-10,2725,2985,2650,10825310,-0.3710575139146568,코스닥 IT,KOSDAQ,0 ~ -2%
예선테크,2021-08-10,2770,-15,2785,3145,2765,10534457,-0.5385996409335727,제조업,KOSDAQ,0 ~ -2%
아이엠,2021-08-10,1465,-85,1550,1610,1435,10243392,-5.483870967741936,코스닥 IT,KOSDAQ,-4 ~ -6%
LG헬로비전,2021-08-10,8240,80,8050,8780,7940,10221982,0.9803921568627451,서비스업,KOSPI,0 ~ 2%
바이오니아,2021-08-10,45200,4800,40650,48650,39750,9726358,11.881188118811881,제조업,KOSDAQ,8% 이상
서린바이오,2021-08-10,26450,2350,24450,28400,24450,9425741,9.751037344398341,유통,KOSDAQ,8% 이상
SM C&C,2021-08-10,5230,-360,5460,5480,5050,8691817,-6.440071556350627,코스닥 IT,KOSDAQ,-6 ~ -8%
넥스트BT,2021-08-10,1620,45,1585,1820,1575,8273389,2.857142857142857,유통,KOSDAQ,2 ~ 4%
삼성중공업,2021-08-10,6430,-110,6590,6700,6290,7960854,-1.6819571865443423,운수장비,KOSPI,0 ~ -2%
대창,2021-08-10,2590,15,2630,2700,2585,7755765,0.5825242718446602,철강금속,KOSPI,0 ~ 2%
이화전기,2021-08-10,2270,40,2450,2490,2260,7668299,1.7937219730941705,코스닥 IT,KOSDAQ,0 ~ 2%
사조동아원,2021-08-10,1625,5,1585,1665,1545,7318698,0.30864197530864196,음식료품,KOSPI,0 ~ 2%
조일알미늄,2021-08-10,1365,5,1395,1440,1355,7266495,0.3676470588235294,철강금속,KOSPI,0 ~ 2%
맘스터치,2021-08-10,4570,140,4470,5170,4410,7182294,3.160270880361174,유통,KOSDAQ,2 ~ 4%
코디엠,2021-08-10,296,-1,297,306,293,7177226,-0.33670033670033667,코스닥 IT,KOSDAQ,0 ~ -2%
에스에이엠티,2021-08-10,5680,-210,5840,6050,5540,7013049,-3.5653650254668934,유통,KOSDAQ,-2 ~ -4%
우리기술,2021-08-10,2380,30,2340,2420,2275,6906322,1.276595744680851,제조업,KOSDAQ,0 ~ 2%
카페24,2021-08-10,43800,-5900,48550,58100,43200,6842168,-11.87122736418511,코스닥 IT,KOSDAQ,-8% 이하
제이엠아이,2021-08-10,2730,290,2435,2880,2415,6837063,11.885245901639344,제조업,KOSDAQ,8% 이상
인터파크,2021-08-10,8160,-640,8730,8750,8100,6435863,-7.2727272727272725,유통,KOSDAQ,-6 ~ -8%
에코프로,2021-08-10,96600,2000,97700,102400,90200,6230929,2.1141649048625792,코스닥 IT,KOSDAQ,2 ~ 4%
한국비엔씨,2021-08-10,18650,-1650,19500,19700,17150,5941130,-8.12807881773399,제조업,KOSDAQ,-8% 이하
현대바이오,2021-08-10,32150,1850,30300,34850,30250,5683877,6.105610561056106,제조업,KOSDAQ,6 ~ 8%
케이사인,2021-08-10,2860,-90,2975,3020,2855,5674130,-3.050847457627119,코스닥 IT,KOSDAQ,-2 ~ -4%
바이오로그디바이스,2021-08-10,4810,-260,5080,5180,4730,5524685,-5.128205128205128,코스닥 IT,KOSDAQ,-4 ~ -6%
삼성엔지니어링,2021-08-10,24750,1300,23500,25150,23450,5460775,5.543710021321962,서비스업,KOSPI,4 ~ 6%
대정화금,2021-08-10,32450,6550,25800,33650,25750,5355392,25.28957528957529,제조업,KOSDAQ,8% 이상
큐라클,2021-08-10,52900,-1300,53900,62100,51600,5316705,-2.3985239852398523,기타서비스,KOSDAQ,-2 ~ -4%
팜스토리,2021-08-10,2500,-150,2630,2645,2495,5245594,-5.660377358490567,제조업,KOSDAQ,-4 ~ -6%
켐트로스,2021-08-10,9570,10,9480,9660,9110,4999700,0.10460251046025104,제조업,KOSDAQ,0 ~ 2%
아난티,2021-08-10,10900,-700,11300,11350,10850,4904525,-6.0344827586206895,없음,KOSDAQ,-6 ~ -8%
에스디바이오센서,2021-08-10,60400,2100,58600,64400,58100,4898064,3.6020583190394513,의료정밀,KOSPI,2 ~ 4%
오비고,2021-08-10,25800,400,27150,28650,25550,4750418,1.574803149606299,코스닥 IT,KOSDAQ,0 ~ 2%
쌍방울,2021-08-10,757,-8,770,771,755,4729328,-1.045751633986928,섬유의복,KOSPI,0 ~ -2%
한송네오텍,2021-08-10,2200,0,2185,2245,2170,4698425,0.0,제조업,KOSDAQ,0 ~ -2%
대신정보통신,2021-08-10,2605,5,2570,2760,2560,4659925,0.19230769230769232,코스닥 IT,KOSDAQ,0 ~ 2%
위지트,2021-08-10,1370,10,1390,1435,1365,4631045,0.7352941176470588,제조업,KOSDAQ,0 ~ 2%
화일약품,2021-08-10,3710,65,3605,4070,3600,4582499,1.7832647462277091,제조업,KOSDAQ,0 ~ 2%
SK하이닉스,2021-08-10,112000,-4000,115000,115500,112000,4464665,-3.4482758620689653,전기전자,KOSPI,-2 ~ -4%
신성통상,2021-08-10,4170,-10,4155,4480,4050,4417817,-0.23923444976076555,유통업,KOSPI,0 ~ -2%
SBI인베스트먼트,2021-08-10,2010,15,2005,2060,1995,4393821,0.7518796992481203,금융,KOSDAQ,0 ~ 2%
피에이치씨,2021-08-10,2320,-130,2400,2400,2230,4287412,-5.3061224489795915,유통,KOSDAQ,-4 ~ -6%
후성,2021-08-10,14200,0,14050,14450,13800,4163503,0.0,화학,KOSPI,0 ~ -2%
일신석재,2021-08-10,2725,-95,2775,2830,2715,4092326,-3.368794326241135,유통업,KOSPI,-2 ~ -4%
두산중공업,2021-08-10,21250,-200,21450,21750,21050,4051675,-0.9324009324009324,기계,KOSPI,0 ~ -2%
우리종금,2021-08-10,1000,2,1000,1015,994,3975009,0.2004008016032064,금융업,KOSPI,0 ~ 2%
대양금속,2021-08-10,5740,40,5750,6000,5690,3906721,0.7017543859649122,철강금속,KOSPI,0 ~ 2%
크리스탈지노믹스,2021-08-10,8270,-60,8350,8730,8140,3715708,-0.7202881152460985,기타서비스,KOSDAQ,0 ~ -2%
에이티넘인베스트,2021-08-10,4495,55,4540,4780,4490,3698206,1.2387387387387387,금융,KOSDAQ,0 ~ 2%
에스엠코어,2021-08-10,8120,330,7800,8950,7620,3607854,4.2362002567394095,제조업,KOSDAQ,4 ~ 6%
서전기전,2021-08-10,11300,50,11100,12650,11000,3555355,0.4444444444444444,제조업,KOSDAQ,0 ~ 2%
네오위즈,2021-08-10,35750,250,36100,38500,34450,3550493,0.7042253521126761,코스닥 IT,KOSDAQ,0 ~ 2%
일신바이오,2021-08-10,6420,70,6400,6660,6370,3436632,1.1023622047244095,제조업,KOSDAQ,0 ~ 2%
디스플레이텍,2021-08-10,7120,-280,7320,7420,6970,3411021,-3.783783783783784,코스닥 IT,KOSDAQ,-2 ~ -4%
에이디칩스,2021-08-10,1220,-25,1310,1310,1200,3401629,-2.0080321285140563,제조업,KOSDAQ,-2 ~ -4%
SK케미칼,2021-08-10,316000,59000,261000,325000,259500,3393731,22.957198443579767,화학,KOSPI,8% 이상
아이에이,2021-08-10,1195,-15,1210,1215,1175,3363639,-1.2396694214876034,코스닥 IT,KOSDAQ,0 ~ -2%
SFA반도체,2021-08-10,7540,-260,7920,7940,7500,3306498,-3.3333333333333335,코스닥 IT,KOSDAQ,-2 ~ -4%
케이피엠테크,2021-08-10,3170,-20,3210,3290,3105,3297938,-0.6269592476489028,제조업,KOSDAQ,0 ~ -2%
초록뱀미디어,2021-08-10,2495,-60,2555,2570,2490,3287909,-2.3483365949119372,오락·문화,KOSDAQ,-2 ~ -4%
한화플러스제1호스팩,2021-08-10,3595,-350,3765,3800,3390,3245579,-8.871989860583017,금융,KOSDAQ,-8% 이하
대아티아이,2021-08-10,6780,-210,6890,6920,6760,3203785,-3.004291845493562,제조업,KOSDAQ,-2 ~ -4%
조아제약,2021-08-10,4760,-135,4840,5080,4685,3195180,-2.7579162410623086,제조업,KOSDAQ,-2 ~ -4%
신일전자,2021-08-10,2010,-35,2030,2045,1995,3181354,-1.7114914425427872,유통업,KOSPI,0 ~ -2%
신성델타테크,2021-08-10,18850,-1150,19450,19650,18100,3123961,-5.75,제조업,KOSDAQ,-4 ~ -6%
골드퍼시픽,2021-08-10,1525,20,1520,1560,1500,3097009,1.3289036544850499,유통,KOSDAQ,0 ~ 2%
연이비앤티,2021-08-10,2360,90,2300,2620,2270,3080760,3.9647577092511015,코스닥 IT,KOSDAQ,2 ~ 4%
SM Life Design,2021-08-10,3200,-30,3105,3245,3105,3037230,-0.9287925696594427,제조업,KOSDAQ,0 ~ -2%
콤텍시스템,2021-08-10,1220,-55,1270,1275,1210,2974961,-4.313725490196078,서비스업,KOSPI,-4 ~ -6%
비덴트,2021-08-10,10600,500,10450,11100,10400,2958495,4.9504950495049505,코스닥 IT,KOSDAQ,4 ~ 6%
웰바이오텍,2021-08-10,2445,-275,2735,2790,2290,2946916,-10.11029411764706,유통업,KOSPI,-8% 이하
버킷스튜디오,2021-08-10,2470,-130,2630,2680,2450,2941403,-5.0,코스닥 IT,KOSDAQ,-4 ~ -6%
이수앱지스,2021-08-10,13550,750,14450,14950,13500,2933285,5.859375,제조업,KOSDAQ,4 ~ 6%
세종텔레콤,2021-08-10,681,-7,688,694,679,2854799,-1.0174418604651163,코스닥 IT,KOSDAQ,0 ~ -2%
멜파스,2021-08-10,2635,40,2615,2840,2610,2827473,1.5414258188824663,코스닥 IT,KOSDAQ,0 ~ 2%
WI,2021-08-10,1875,-85,1955,1955,1875,2773713,-4.336734693877551,제조업,KOSDAQ,-4 ~ -6%
에이치엘비제약,2021-08-10,22700,750,22150,24050,21550,2769660,3.416856492027335,기타서비스,KOSDAQ,2 ~ 4%
디아이,2021-08-10,10150,650,9870,10600,9550,2735364,6.842105263157896,의료정밀,KOSPI,6 ~ 8%
해성옵틱스,2021-08-10,825,-44,869,869,821,2702782,-5.063291139240507,코스닥 IT,KOSDAQ,-4 ~ -6%
팬오션,2021-08-10,7320,-130,7480,7490,7260,2690645,-1.74496644295302,운수창고업,KOSPI,0 ~ -2%
진원생명과학,2021-08-10,41950,-450,42400,43650,41500,2653602,-1.0613207547169812,의약품,KOSPI,0 ~ -2%
대한그린파워,2021-08-10,2025,-90,2135,2135,1925,2613726,-4.25531914893617,제조업,KOSDAQ,-4 ~ -6%
씨티씨바이오,2021-08-10,12650,900,11750,13150,11650,2589613,7.659574468085106,제조업,KOSDAQ,6 ~ 8%
젬백스링크,2021-08-10,1855,-65,1890,1900,1835,2585671,-3.3854166666666665,유통,KOSDAQ,-2 ~ -4%
국전약품,2021-08-10,8920,-240,9080,9430,8900,2574987,-2.6200873362445414,제조업,KOSDAQ,-2 ~ -4%
한솔홈데코,2021-08-10,2135,-40,2170,2200,2115,2544246,-1.839080459770115,종이목재,KOSPI,0 ~ -2%
위즈코프,2021-08-10,2935,-120,3060,3115,2895,2540985,-3.927986906710311,유통,KOSDAQ,-2 ~ -4%
파미셀,2021-08-10,18400,650,17900,18700,17800,2528239,3.6619718309859155,의약품,KOSPI,2 ~ 4%
HMM,2021-08-10,38850,-800,39650,39750,38650,2518361,-2.01765447667087,운수창고업,KOSPI,-2 ~ -4%
에프엔에스테크,2021-08-10,15600,650,14800,16150,14350,2508476,4.3478260869565215,제조업,KOSDAQ,4 ~ 6%
한화솔루션,2021-08-10,39950,400,40250,41150,39800,2504986,1.0113780025284451,화학,KOSPI,0 ~ 2%
넥스트사이언스,2021-08-10,33050,800,32000,33450,30600,2451371,2.4806201550387597,없음,KOSPI,2 ~ 4%
제이시스메디칼,2021-08-10,8590,-310,9060,9280,8520,2444807,-3.48314606741573,제조업,KOSDAQ,-2 ~ -4%
현대로템,2021-08-10,25750,-1000,26350,26400,25600,2421372,-3.7383177570093453,운수장비,KOSPI,-2 ~ -4%
인트로메딕,2021-08-10,3500,-125,3620,3620,3310,2421230,-3.4482758620689653,제조업,KOSDAQ,-2 ~ -4%
코세스,2021-08-10,14650,-1450,15700,15800,14500,2379983,-9.006211180124224,코스닥 IT,KOSDAQ,-8% 이하
국순당,2021-08-10,8920,140,8770,9990,8710,2348345,1.5945330296127564,제조업,KOSDAQ,0 ~ 2%
엠아이텍,2021-08-10,5980,220,5760,6170,5760,2345960,3.8194444444444446,제조업,KOSDAQ,2 ~ 4%
웅진,2021-08-10,2530,-55,2610,2730,2495,2264159,-2.127659574468085,금융업,KOSPI,-2 ~ -4%
파인테크닉스,2021-08-10,9100,-660,9800,9900,8960,2249656,-6.762295081967213,코스닥 IT,KOSDAQ,-6 ~ -8%
삼부토건,2021-08-10,3205,20,3190,3280,3125,2240964,0.6279434850863422,건설업,KOSPI,0 ~ 2%
대덕전자,2021-08-10,17000,-400,17450,17600,16900,2238338,-2.2988505747126435,전기전자,KOSPI,-2 ~ -4%
휴마시스,2021-08-10,18150,100,18000,18750,17650,2232485,0.554016620498615,제조업,KOSDAQ,0 ~ 2%
TCC스틸,2021-08-10,6800,260,6570,7080,6450,2227744,3.9755351681957185,철강금속,KOSPI,2 ~ 4%
덱스터,2021-08-10,13500,-700,13850,13950,13350,2221875,-4.929577464788732,오락·문화,KOSDAQ,-4 ~ -6%
코리아센터,2021-08-10,8860,50,8740,9000,8730,2213624,0.5675368898978433,코스닥 IT,KOSDAQ,0 ~ 2%
세원이앤씨,2021-08-10,954,-34,988,988,941,2207942,-3.4412955465587043,기계,KOSPI,-2 ~ -4%
시그네틱스,2021-08-10,1930,-55,2005,2010,1910,2192822,-2.770780856423174,코스닥 IT,KOSDAQ,-2 ~ -4%
지트리비앤티,2021-08-10,10900,750,10200,11600,10050,2177420,7.389162561576355,유통,KOSDAQ,6 ~ 8%
코스모화학,2021-08-10,15450,100,15450,15650,14700,2156645,0.6514657980456027,화학,KOSPI,0 ~ 2%
인디에프,2021-08-10,1680,-30,1695,1775,1655,2141554,-1.7543859649122806,섬유의복,KOSPI,0 ~ -2%
갤럭시아에스엠,2021-08-10,2835,-90,2900,2950,2805,2113148,-3.076923076923077,서비스업,KOSPI,-2 ~ -4%
대원제약,2021-08-10,18350,150,18750,18950,17850,1944548,0.8241758241758242,의약품,KOSPI,0 ~ 2%
SK증권,2021-08-10,980,-10,992,993,979,1925703,-1.0101010101010102,금융업,KOSPI,0 ~ -2%
한전산업,2021-08-10,12550,400,11950,13050,11850,1920020,3.292181069958848,서비스업,KOSPI,2 ~ 4%
카카오,2021-08-10,146000,-2000,148000,148500,144500,1862161,-1.3513513513513513,서비스업,KOSPI,0 ~ -2%
우리금융지주,2021-08-10,11050,-50,11150,11250,11000,1845592,-0.45045045045045046,금융업,KOSPI,0 ~ -2%
코스모신소재,2021-08-10,49300,50,49300,50100,47450,1781486,0.10152284263959391,화학,KOSPI,0 ~ 2%
대영포장,2021-08-10,3085,30,3045,3100,3020,1769708,0.9819967266775778,종이목재,KOSPI,0 ~ 2%
