,날짜,종가,전일비,시가,고가,저가,거래량,등락률,카테고리,마켓,등락률그룹
바이오로그디바이스,2021-08-03,5300,1045,4240,5530,4240,64624926,24.5593419506463,코스닥 IT,KOSDAQ,8% 이상
럭슬,2021-08-03,112,45,100,151,89,57224515,67.16417910447761,제조업,KOSDAQ,8% 이상
한송네오텍,2021-08-03,2080,50,2080,2275,2050,55366439,2.4630541871921183,제조업,KOSDAQ,2 ~ 4%
제이준코스메틱,2021-08-03,2185,145,1920,2540,1915,36173138,7.107843137254902,화학,KOSPI,6 ~ 8%
아이에이,2021-08-03,1240,75,1160,1295,1160,32380495,6.437768240343347,코스닥 IT,KOSDAQ,6 ~ 8%
한국비엔씨,2021-08-03,19300,3200,16100,20650,16050,30540759,19.875776397515526,제조업,KOSDAQ,8% 이상
윈팩,2021-08-03,2690,185,2575,2950,2510,29493449,7.385229540918163,코스닥 IT,KOSDAQ,6 ~ 8%
에이디칩스,2021-08-03,1270,120,1150,1385,1130,28245235,10.434782608695652,제조업,KOSDAQ,8% 이상
인터파크,2021-08-03,9170,-420,9870,10050,8980,25972954,-4.37956204379562,유통,KOSDAQ,-4 ~ -6%
국전약품,2021-08-03,9460,450,8900,10150,8850,25782818,4.994450610432852,제조업,KOSDAQ,4 ~ 6%
제일바이오,2021-08-03,3875,230,4310,4315,3780,25745996,6.310013717421124,제조업,KOSDAQ,6 ~ 8%
일신석재,2021-08-03,2925,25,2890,3045,2890,24314351,0.8620689655172413,유통업,KOSPI,0 ~ 2%
삼성전자,2021-08-03,81400,2100,79400,81400,79300,24200823,2.648171500630517,전기전자,KOSPI,2 ~ 4%
이아이디,2021-08-03,516,-22,538,541,513,23802497,-4.089219330855019,유통업,KOSPI,-4 ~ -6%
판타지오,2021-08-03,119,-4,123,123,117,19556542,-3.2520325203252036,오락·문화,KOSDAQ,-2 ~ -4%
보락,2021-08-03,2640,145,2500,2700,2480,19315588,5.811623246492986,화학,KOSPI,4 ~ 6%
팜스토리,2021-08-03,2540,-65,2605,2720,2495,19195239,-2.495201535508637,제조업,KOSDAQ,-2 ~ -4%
한화에스비아이스팩,2021-08-03,6150,650,5700,6810,4970,18880799,11.818181818181818,금융,KOSDAQ,8% 이상
지나인제약,2021-08-03,1540,-150,1680,1690,1465,17953951,-8.875739644970414,제조업,KOSDAQ,-8% 이하
갤럭시아에스엠,2021-08-03,2345,265,2110,2620,2110,16497228,12.740384615384615,서비스업,KOSPI,8% 이상
대한전선,2021-08-03,2460,-90,2560,2600,2425,14339119,-3.5294117647058822,전기전자,KOSPI,-2 ~ -4%
이디티,2021-08-03,2770,270,2490,2870,2480,13834854,10.8,제조업,KOSDAQ,8% 이상
제이시스메디칼,2021-08-03,8900,600,8380,9120,8210,13186412,7.228915662650602,제조업,KOSDAQ,6 ~ 8%
범양건영,2021-08-03,8200,880,7520,8900,7520,13172606,12.021857923497267,건설업,KOSPI,8% 이상
마이더스AI,2021-08-03,410,24,390,466,383,13120842,6.217616580310881,코스닥 IT,KOSDAQ,6 ~ 8%
솔고바이오,2021-08-03,1420,90,1345,1535,1305,12511179,6.7669172932330826,제조업,KOSDAQ,6 ~ 8%
KD,2021-08-03,2090,130,1995,2320,1995,12399770,6.63265306122449,건설,KOSDAQ,6 ~ 8%
삼일제약,2021-08-03,10300,1300,9120,11700,9100,11764070,14.444444444444443,의약품,KOSPI,8% 이상
서울제약,2021-08-03,11400,1970,10650,12250,10100,11669630,20.890774125132555,제조업,KOSDAQ,8% 이상
심텍홀딩스,2021-08-03,3395,410,3000,3500,2990,11226551,13.735343383584588,코스닥 IT,KOSDAQ,8% 이상
조아제약,2021-08-03,4770,-25,4895,5270,4770,10883183,-0.5213764337851928,제조업,KOSDAQ,0 ~ -2%
일성건설,2021-08-03,3505,65,3610,3970,3465,9827807,1.88953488372093,건설업,KOSPI,0 ~ 2%
신영스팩6호,2021-08-03,2550,195,3060,3060,2420,9825083,8.280254777070063,금융,KOSDAQ,8% 이상
사조동아원,2021-08-03,1535,-60,1585,1595,1510,9590186,-3.761755485893417,음식료품,KOSPI,-2 ~ -4%
이트론,2021-08-03,670,-22,705,705,668,9481801,-3.1791907514450863,코스닥 IT,KOSDAQ,-2 ~ -4%
신일전자,2021-08-03,2120,-60,2180,2215,2085,9423458,-2.7522935779816518,유통업,KOSPI,-2 ~ -4%
메디콕스,2021-08-03,1580,60,1525,1610,1495,9277821,3.9473684210526314,제조업,KOSDAQ,2 ~ 4%
동양철관,2021-08-03,1750,-20,1790,1865,1725,9224450,-1.1299435028248588,철강금속,KOSPI,0 ~ -2%
두산중공업,2021-08-03,20700,-1100,21850,21850,20500,9078887,-5.045871559633028,기계,KOSPI,-4 ~ -6%
