,날짜,종가,전일비,시가,고가,저가,거래량,등락률,카테고리,마켓,등락률그룹
이루온,2021-08-09,4050,-245,4435,4495,4050,4366351,-5.70430733410943,코스닥 IT,KOSDAQ,-4 ~ -6%
파인테크닉스,2021-08-09,9760,620,9200,9920,9100,4358047,6.783369803063458,코스닥 IT,KOSDAQ,6 ~ 8%
에코프로,2021-08-09,94600,21800,74000,94600,74000,4329140,29.945054945054945,코스닥 IT,KOSDAQ,8% 이상
성호전자,2021-08-09,1940,75,1870,1965,1855,4309538,4.021447721179625,코스닥 IT,KOSDAQ,4 ~ 6%
현대로템,2021-08-09,26750,150,27000,27500,26200,4267593,0.5639097744360901,운수장비,KOSPI,0 ~ 2%
에이비프로바이오,2021-08-09,1165,-50,1190,1210,1150,4155281,-4.11522633744856,제조업,KOSDAQ,-4 ~ -6%
오픈베이스,2021-08-09,4890,-280,5310,5370,4840,4152988,-5.415860735009671,코스닥 IT,KOSDAQ,-4 ~ -6%
SM Life Design,2021-08-09,3230,-140,3310,3405,3210,4144359,-4.154302670623145,제조업,KOSDAQ,-4 ~ -6%
이그잭스,2021-08-09,2610,100,2520,2630,2485,4138241,3.9840637450199203,코스닥 IT,KOSDAQ,2 ~ 4%
우리기술투자,2021-08-09,7500,220,7520,7850,7480,4135206,3.021978021978022,금융,KOSDAQ,2 ~ 4%
아비코전자,2021-08-09,10400,410,10550,11350,10200,4035150,4.1041041041041035,제조업,KOSDAQ,4 ~ 6%
피에이치씨,2021-08-09,2450,0,2465,2470,2330,4027125,0.0,유통,KOSDAQ,0 ~ -2%
이브이첨단소재,2021-08-09,5050,-240,5300,5460,5020,4003361,-4.536862003780719,코스닥 IT,KOSDAQ,-4 ~ -6%
대아티아이,2021-08-09,6990,-160,7090,7200,6960,3907537,-2.237762237762238,제조업,KOSDAQ,-2 ~ -4%
갤럭시아에스엠,2021-08-09,2925,-185,3090,3130,2925,3829901,-5.94855305466238,서비스업,KOSPI,-4 ~ -6%
