,날짜,종가,전일비,시가,고가,저가,거래량,등락률,카테고리,마켓,등락률그룹
에이루트,2021-08-11,902,56,860,945,857,69193892,6.619385342789598,코스닥 IT,KOSDAQ,6 ~ 8%
바이오로그디바이스,2021-08-11,5300,590,4685,5800,4670,67724596,12.526539278131635,코스닥 IT,KOSDAQ,8% 이상
인성정보,2021-08-11,3280,385,3010,3285,2825,41241644,13.298791018998275,코스닥 IT,KOSDAQ,8% 이상
바른손,2021-08-11,3255,195,3035,3975,3000,39721354,6.372549019607843,유통,KOSDAQ,6 ~ 8%
KMH하이텍,2021-08-11,2140,5,2165,2380,2120,32256987,0.234192037470726,코스닥 IT,KOSDAQ,0 ~ 2%
한솔로지스틱스,2021-08-11,5010,995,4000,5210,3975,32228268,24.78206724782067,운수창고업,KOSPI,8% 이상
삼성전자,2021-08-11,78500,-1700,79600,79800,78500,29825681,-2.119700748129676,전기전자,KOSPI,-2 ~ -4%
삼일,2021-08-11,3500,585,3390,3785,3120,27205433,20.06861063464837,운송,KOSDAQ,8% 이상
바른손이앤에이,2021-08-11,1515,35,1465,1790,1450,24937426,2.364864864864865,오락·문화,KOSDAQ,2 ~ 4%
시스웍,2021-08-11,2620,130,2585,2665,2490,23738649,5.220883534136546,제조업,KOSDAQ,4 ~ 6%
한국선재,2021-08-11,6630,180,7140,7450,6530,23518200,2.7906976744186047,제조업,KOSDAQ,2 ~ 4%
제이엠아이,2021-08-11,2350,-460,2780,3200,1975,22886347,-16.370106761565836,제조업,KOSDAQ,-8% 이하
브리지텍,2021-08-11,5740,775,5000,6450,5000,21077461,15.609264853977844,코스닥 IT,KOSDAQ,8% 이상
이아이디,2021-08-11,517,-10,528,532,515,21035052,-1.8975332068311195,유통업,KOSPI,0 ~ -2%
인바이오젠,2021-08-11,4650,530,4105,4950,4035,20363471,12.864077669902912,유통업,KOSPI,8% 이상
팍스넷,2021-08-11,820,-42,320,820,320,17784067,-4.872389791183294,금융,KOSDAQ,-4 ~ -6%
이트론,2021-08-11,696,-7,707,714,695,16920982,-0.995732574679943,코스닥 IT,KOSDAQ,0 ~ -2%
에스에이엠티,2021-08-11,5620,-50,5710,6080,5550,16428575,-0.8818342151675485,유통,KOSDAQ,0 ~ -2%
TYM,2021-08-11,2460,0,2420,2530,2385,13932129,0.0,기계,KOSPI,0 ~ -2%
SK하이닉스,2021-08-11,105500,-7000,109000,110000,105000,13555013,-6.222222222222222,전기전자,KOSPI,-6 ~ -8%
홈센타홀딩스,2021-08-11,1250,65,1240,1360,1220,13148659,5.485232067510549,유통,KOSDAQ,4 ~ 6%
신원,2021-08-11,2315,-120,2290,2390,2245,12765035,-4.9281314168377826,섬유의복,KOSPI,-4 ~ -6%
대영포장,2021-08-11,3295,170,3210,3300,3090,12694281,5.4399999999999995,종이목재,KOSPI,4 ~ 6%
판타지오,2021-08-11,113,0,113,115,112,12371614,0.0,오락·문화,KOSDAQ,0 ~ -2%
제일바이오,2021-08-11,4130,190,3950,4265,3835,12046835,4.822335025380711,제조업,KOSDAQ,4 ~ 6%
SM C&C,2021-08-11,5480,210,5270,5480,5050,11861128,3.984819734345351,코스닥 IT,KOSDAQ,2 ~ 4%
샘씨엔에스,2021-08-11,8760,100,8560,9650,8500,11497971,1.1547344110854503,코스닥 IT,KOSDAQ,0 ~ 2%
