,날짜,종가,전일비,시가,고가,저가,거래량,등락률,카테고리,마켓,등락률그룹
인터파크,2021-08-13,9240,970,8900,9620,8510,75211442,11.729141475211609,유통,KOSDAQ,8% 이상
토박스코리아,2021-08-13,1695,145,1615,1845,1475,68579347,9.35483870967742,유통,KOSDAQ,8% 이상
삼성전자,2021-08-13,74400,-2600,75800,76000,74100,55443125,-3.3766233766233764,전기전자,KOSPI,-2 ~ -4%
대신정보통신,2021-08-13,2860,285,2565,3095,2550,48357235,11.067961165048544,코스닥 IT,KOSDAQ,8% 이상
바이오로그디바이스,2021-08-13,5170,260,4920,5580,4915,44754625,5.295315682281059,코스닥 IT,KOSDAQ,4 ~ 6%
경남스틸,2021-08-13,5160,515,4760,5440,4760,30194709,11.08719052744887,제조업,KOSDAQ,8% 이상
인스코비,2021-08-13,4200,425,3775,4290,3715,24728595,11.258278145695364,통신업,KOSPI,8% 이상
판타지오,2021-08-13,110,-2,112,113,106,22163811,-1.7857142857142856,오락·문화,KOSDAQ,0 ~ -2%
서한,2021-08-13,2085,110,1980,2205,1960,22096180,5.5696202531645564,건설,KOSDAQ,4 ~ 6%
DB,2021-08-13,1130,-10,1190,1295,1120,21064594,-0.8771929824561403,서비스업,KOSPI,0 ~ -2%
쇼박스,2021-08-13,4335,180,4640,4895,4280,18661137,4.332129963898916,오락·문화,KOSDAQ,4 ~ 6%
인성정보,2021-08-13,3080,-220,3435,3535,3070,18277012,-6.666666666666667,코스닥 IT,KOSDAQ,-6 ~ -8%
이아이디,2021-08-13,512,-9,519,520,502,17906217,-1.727447216890595,유통업,KOSPI,0 ~ -2%
브리지텍,2021-08-13,5830,-70,6540,7060,5810,17092333,-1.1864406779661016,코스닥 IT,KOSDAQ,0 ~ -2%
에이루트,2021-08-13,803,-42,829,844,784,15325325,-4.970414201183432,코스닥 IT,KOSDAQ,-4 ~ -6%
이트론,2021-08-13,676,-19,681,690,655,15170288,-2.7338129496402876,코스닥 IT,KOSDAQ,-2 ~ -4%
삼일,2021-08-13,4655,360,4640,5220,4360,14816635,8.381839348079161,운송,KOSDAQ,8% 이상
삼일기업공사,2021-08-13,10300,2100,8250,10500,8170,14207516,25.609756097560975,건설,KOSDAQ,8% 이상
코스모화학,2021-08-13,19000,650,18550,20200,17650,12456037,3.5422343324250685,화학,KOSPI,2 ~ 4%
대한전선,2021-08-13,2600,-75,2680,2700,2580,11518138,-2.803738317757009,전기전자,KOSPI,-2 ~ -4%
제이엠아이,2021-08-13,2640,-100,2735,2980,2465,11439283,-3.64963503649635,제조업,KOSDAQ,-2 ~ -4%
삼성출판사,2021-08-13,49500,7950,42200,53000,41950,11363859,19.133574007220215,서비스업,KOSPI,8% 이상
SK하이닉스,2021-08-13,101500,1000,99600,101500,98900,10217417,0.9950248756218906,전기전자,KOSPI,0 ~ 2%
우진비앤지,2021-08-13,3230,-60,3400,3415,3155,9296543,-1.82370820668693,제조업,KOSDAQ,0 ~ -2%
지나인제약,2021-08-13,1375,-120,1495,1545,1370,8829550,-8.02675585284281,제조업,KOSDAQ,-8% 이하
에스코넥,2021-08-13,2250,-65,2340,2370,2210,8678378,-2.8077753779697625,코스닥 IT,KOSDAQ,-2 ~ -4%
상상인이안1호스팩,2021-08-13,4030,320,3730,4535,3710,7968500,8.62533692722372,금융,KOSDAQ,8% 이상
나노엔텍,2021-08-13,9180,490,8740,9560,8710,7888428,5.638665132336018,제조업,KOSDAQ,4 ~ 6%
신라섬유,2021-08-13,3140,140,2995,3445,2970,7623242,4.666666666666667,유통,KOSDAQ,4 ~ 6%
팬오션,2021-08-13,7460,-290,7860,7900,7390,7607378,-3.741935483870968,운수창고업,KOSPI,-2 ~ -4%
TYM,2021-08-13,2350,-20,2340,2425,2320,7569676,-0.8438818565400843,기계,KOSPI,0 ~ -2%
씨티씨바이오,2021-08-13,13400,1150,12000,14500,11900,7522701,9.387755102040817,제조업,KOSDAQ,8% 이상
YG PLUS,2021-08-13,7760,-140,7900,8190,7670,7454383,-1.7721518987341773,서비스업,KOSPI,0 ~ -2%
신원,2021-08-13,2270,50,2210,2285,2165,7365367,2.2522522522522523,섬유의복,KOSPI,2 ~ 4%
대정화금,2021-08-13,35050,4350,31450,37150,31400,7318797,14.169381107491857,제조업,KOSDAQ,8% 이상
쌍방울,2021-08-13,737,-12,750,755,711,7239087,-1.602136181575434,섬유의복,KOSPI,0 ~ -2%
시너지이노베이션,2021-08-13,4150,-725,4820,4820,4130,7218767,-14.871794871794872,제조업,KOSDAQ,-8% 이하
모트렉스,2021-08-13,7180,120,7070,7270,6700,7020496,1.69971671388102,제조업,KOSDAQ,0 ~ 2%
팍스넷,2021-08-13,620,-280,672,788,606,6831931,-31.11111111111111,금융,KOSDAQ,-8% 이하
코디엠,2021-08-13,282,-6,288,292,270,6714177,-2.083333333333333,코스닥 IT,KOSDAQ,-2 ~ -4%
켐온,2021-08-13,4200,50,4105,4420,4105,6711019,1.2048192771084338,기타서비스,KOSDAQ,0 ~ 2%
빅텍,2021-08-13,7190,10,7130,7530,7070,6334303,0.1392757660167131,제조업,KOSDAQ,0 ~ 2%
시스웍,2021-08-13,2310,-120,2475,2490,2280,6286129,-4.938271604938271,제조업,KOSDAQ,-4 ~ -6%
한국선재,2021-08-13,7020,300,6720,7080,6710,6009853,4.464285714285714,제조업,KOSDAQ,4 ~ 6%
에스엘바이오닉스,2021-08-13,952,-153,1005,1035,936,5852882,-13.846153846153847,코스닥 IT,KOSDAQ,-8% 이하
GH신소재,2021-08-13,9090,-20,9110,9750,8850,5813344,-0.21953896816684962,제조업,KOSDAQ,0 ~ -2%
두산중공업,2021-08-13,20750,-950,21800,21850,20500,5748314,-4.377880184331797,기계,KOSPI,-4 ~ -6%
SK증권,2021-08-13,942,-34,979,979,935,5729590,-3.483606557377049,금융업,KOSPI,-2 ~ -4%
비트컴퓨터,2021-08-13,10950,350,11850,12100,10800,5666764,3.30188679245283,코스닥 IT,KOSDAQ,2 ~ 4%
우리종금,2021-08-13,965,-19,984,986,953,5561158,-1.9308943089430894,금융업,KOSPI,0 ~ -2%
엠로,2021-08-13,28950,2950,32700,39800,28850,5476079,11.346153846153847,없음,KONEX,8% 이상
광진윈텍,2021-08-13,9240,870,8370,9860,8300,5383015,10.39426523297491,제조업,KOSDAQ,8% 이상
카카오게임즈,2021-08-13,77600,-1200,77200,78000,73500,5141459,-1.5228426395939088,코스닥 IT,KOSDAQ,0 ~ -2%
아이에이,2021-08-13,1130,-45,1175,1175,1110,5128024,-3.829787234042553,코스닥 IT,KOSDAQ,-2 ~ -4%
HMM,2021-08-13,39250,-1400,41250,41800,39100,5087672,-3.4440344403444034,운수창고업,KOSPI,-2 ~ -4%
