,날짜,종가,전일비,시가,고가,저가,거래량,등락률,카테고리,마켓,등락률그룹
SM C&C,2021-08-04,6020,1075,5100,6220,4905,98087441,21.73913043478261,코스닥 IT,KOSDAQ,8% 이상
SM Life Design,2021-08-04,3570,240,3300,3820,3190,84558473,7.207207207207207,제조업,KOSDAQ,6 ~ 8%
케이사인,2021-08-04,3020,505,2520,3145,2490,79631240,20.07952286282306,코스닥 IT,KOSDAQ,8% 이상
인터파크,2021-08-04,9670,500,9560,10450,9460,49445757,5.452562704471101,유통,KOSDAQ,4 ~ 6%
바이오로그디바이스,2021-08-04,5380,80,5150,5920,5000,46686613,1.509433962264151,코스닥 IT,KOSDAQ,0 ~ 2%
이아이디,2021-08-04,525,9,519,560,513,46363563,1.744186046511628,유통업,KOSPI,0 ~ 2%
지나인제약,2021-08-04,1670,130,1515,1770,1470,45396291,8.441558441558442,제조업,KOSDAQ,8% 이상
이트론,2021-08-04,699,29,671,738,668,38434360,4.328358208955224,코스닥 IT,KOSDAQ,4 ~ 6%
럭슬,2021-08-04,109,-3,162,162,109,28826444,-2.6785714285714284,제조업,KOSDAQ,-2 ~ -4%
신원,2021-08-04,2265,170,2095,2330,2095,27229855,8.1145584725537,섬유의복,KOSPI,8% 이상
아이비김영,2021-08-04,4870,100,5250,5680,4850,25082777,2.0964360587002098,기타서비스,KOSDAQ,2 ~ 4%
이구산업,2021-08-04,4470,260,4480,4860,4345,24400158,6.175771971496437,철강금속,KOSPI,6 ~ 8%
대한전선,2021-08-04,2560,100,2435,2650,2435,23664564,4.0650406504065035,전기전자,KOSPI,4 ~ 6%
삼성전자,2021-08-04,82900,1500,82200,83000,81800,19892929,1.8427518427518428,전기전자,KOSPI,0 ~ 2%
덱스터,2021-08-04,13700,2850,11150,13850,11100,18854967,26.26728110599078,오락·문화,KOSDAQ,8% 이상
젬백스링크,2021-08-04,1795,105,1690,1945,1690,18439300,6.21301775147929,유통,KOSDAQ,6 ~ 8%
큐로컴,2021-08-04,1695,195,1480,1870,1465,18091823,13.0,코스닥 IT,KOSDAQ,8% 이상
코세스,2021-08-04,13150,3000,11900,13150,11400,17179555,29.55665024630542,코스닥 IT,KOSDAQ,8% 이상
