,날짜,종가,전일비,시가,고가,저가,거래량,등락률,카테고리,마켓,등락률그룹
인터파크,2021-08-13,9220,950,8900,9620,8510,73669040,11.487303506650544,유통,KOSDAQ,8% 이상
토박스코리아,2021-08-13,1775,225,1615,1845,1475,64454589,14.516129032258066,유통,KOSDAQ,8% 이상
삼성전자,2021-08-13,74200,-2800,75800,76000,74100,52439854,-3.6363636363636362,전기전자,KOSPI,-2 ~ -4%
대신정보통신,2021-08-13,2840,265,2565,3095,2550,46326552,10.29126213592233,코스닥 IT,KOSDAQ,8% 이상
바이오로그디바이스,2021-08-13,5260,350,4920,5580,4915,42900961,7.128309572301425,코스닥 IT,KOSDAQ,6 ~ 8%
경남스틸,2021-08-13,5020,375,4760,5440,4760,28776299,8.073196986006458,제조업,KOSDAQ,8% 이상
서한,2021-08-13,2065,90,1980,2205,1960,21631782,4.556962025316456,건설,KOSDAQ,4 ~ 6%
판타지오,2021-08-13,110,-2,112,113,106,21481204,-1.7857142857142856,오락·문화,KOSDAQ,0 ~ -2%
DB,2021-08-13,1125,-15,1190,1295,1120,20856644,-1.3157894736842104,서비스업,KOSPI,0 ~ -2%
인스코비,2021-08-13,4150,375,3775,4200,3715,20218245,9.933774834437086,통신업,KOSPI,8% 이상
쇼박스,2021-08-13,4390,235,4640,4895,4375,18216947,5.6558363417569195,오락·문화,KOSDAQ,4 ~ 6%
인성정보,2021-08-13,3125,-175,3435,3535,3110,17784816,-5.303030303030303,코스닥 IT,KOSDAQ,-4 ~ -6%
이아이디,2021-08-13,510,-11,519,520,502,17283268,-2.111324376199616,유통업,KOSPI,-2 ~ -4%
브리지텍,2021-08-13,5890,-10,6540,7060,5890,16830233,-0.1694915254237288,코스닥 IT,KOSDAQ,0 ~ -2%
이트론,2021-08-13,672,-23,681,690,655,14658279,-3.3093525179856114,코스닥 IT,KOSDAQ,-2 ~ -4%
에이루트,2021-08-13,804,-41,829,844,784,14392376,-4.85207100591716,코스닥 IT,KOSDAQ,-4 ~ -6%
삼일,2021-08-13,4465,170,4640,5220,4360,13948115,3.958090803259604,운송,KOSDAQ,2 ~ 4%
삼일기업공사,2021-08-13,9970,1770,8250,10500,8170,12806169,21.585365853658537,건설,KOSDAQ,8% 이상
코스모화학,2021-08-13,19050,700,18550,20200,17650,12275938,3.8147138964577656,화학,KOSPI,2 ~ 4%
대한전선,2021-08-13,2595,-80,2680,2700,2580,11136627,-2.990654205607477,전기전자,KOSPI,-2 ~ -4%
제이엠아이,2021-08-13,2740,0,2735,2980,2465,10625545,0.0,제조업,KOSDAQ,0 ~ -2%
삼성출판사,2021-08-13,52200,10650,42200,53000,41950,10438693,25.63176895306859,서비스업,KOSPI,8% 이상
우진비앤지,2021-08-13,3200,-90,3400,3415,3155,9072394,-2.735562310030395,제조업,KOSDAQ,-2 ~ -4%
SK하이닉스,2021-08-13,100000,-500,99600,100500,98900,8914394,-0.4975124378109453,전기전자,KOSPI,0 ~ -2%
에스코넥,2021-08-13,2230,-85,2340,2370,2210,8598991,-3.6717062634989204,코스닥 IT,KOSDAQ,-2 ~ -4%
지나인제약,2021-08-13,1390,-105,1495,1545,1380,8300690,-7.023411371237458,제조업,KOSDAQ,-6 ~ -8%
나노엔텍,2021-08-13,9140,450,8740,9560,8710,7788227,5.178365937859609,제조업,KOSDAQ,4 ~ 6%
상상인이안1호스팩,2021-08-13,4065,355,3730,4535,3710,7754008,9.568733153638814,금융,KOSDAQ,8% 이상
신라섬유,2021-08-13,3110,110,2995,3445,2970,7460123,3.6666666666666665,유통,KOSDAQ,2 ~ 4%
팬오션,2021-08-13,7440,-310,7860,7900,7390,7447811,-4.0,운수창고업,KOSPI,-4 ~ -6%
TYM,2021-08-13,2350,-20,2340,2425,2320,7411210,-0.8438818565400843,기계,KOSPI,0 ~ -2%
씨티씨바이오,2021-08-13,13300,1050,12000,14500,11900,7408863,8.571428571428571,제조업,KOSDAQ,8% 이상
YG PLUS,2021-08-13,7810,-90,7900,8190,7670,7250227,-1.139240506329114,서비스업,KOSPI,0 ~ -2%
대정화금,2021-08-13,35200,4500,31450,37150,31400,7211089,14.65798045602606,제조업,KOSDAQ,8% 이상
쌍방울,2021-08-13,736,-13,750,755,711,7098226,-1.7356475300400533,섬유의복,KOSPI,0 ~ -2%
신원,2021-08-13,2260,40,2210,2285,2165,7092800,1.8018018018018018,섬유의복,KOSPI,0 ~ 2%
시너지이노베이션,2021-08-13,4185,-690,4820,4820,4130,6943459,-14.153846153846153,제조업,KOSDAQ,-8% 이하
모트렉스,2021-08-13,7170,110,7070,7270,6700,6628054,1.5580736543909348,제조업,KOSDAQ,0 ~ 2%
코디엠,2021-08-13,281,-7,288,292,270,6584297,-2.430555555555556,코스닥 IT,KOSDAQ,-2 ~ -4%
켐온,2021-08-13,4225,75,4105,4420,4105,6440991,1.8072289156626504,기타서비스,KOSDAQ,0 ~ 2%
팍스넷,2021-08-13,606,-294,672,788,606,6321943,-32.666666666666664,금융,KOSDAQ,-8% 이하
빅텍,2021-08-13,7190,10,7130,7530,7070,6172853,0.1392757660167131,제조업,KOSDAQ,0 ~ 2%
시스웍,2021-08-13,2305,-125,2475,2490,2280,6145094,-5.1440329218107,제조업,KOSDAQ,-4 ~ -6%
GH신소재,2021-08-13,9160,50,9110,9750,8850,5625847,0.5488474204171241,제조업,KOSDAQ,0 ~ 2%
두산중공업,2021-08-13,20700,-1000,21800,21850,20500,5583776,-4.6082949308755765,기계,KOSPI,-4 ~ -6%
비트컴퓨터,2021-08-13,10850,250,11850,12100,10850,5578942,2.358490566037736,코스닥 IT,KOSDAQ,2 ~ 4%
에스엘바이오닉스,2021-08-13,959,-146,1005,1035,936,5566583,-13.21266968325792,코스닥 IT,KOSDAQ,-8% 이하
한국선재,2021-08-13,6950,230,6720,7080,6710,5491634,3.422619047619048,제조업,KOSDAQ,2 ~ 4%
SK증권,2021-08-13,939,-37,979,979,935,5455159,-3.790983606557377,금융업,KOSPI,-2 ~ -4%
엠로,2021-08-13,30050,4050,32700,39800,29250,5379195,15.576923076923077,없음,KONEX,8% 이상
