,날짜,종가,전일비,시가,고가,저가,거래량,등락률,카테고리,마켓,등락률그룹
인터파크,2021-08-13,9180,910,8900,9560,8510,42856671,11.003627569528417,유통,KOSDAQ,8% 이상
삼성전자,2021-08-13,74500,-2500,75800,76000,74100,38733931,-3.2467532467532463,전기전자,KOSPI,-2 ~ -4%
대신정보통신,2021-08-13,2850,275,2565,3095,2550,37310633,10.679611650485436,코스닥 IT,KOSDAQ,8% 이상
토박스코리아,2021-08-13,1750,200,1615,1845,1475,25717354,12.903225806451612,유통,KOSDAQ,8% 이상
경남스틸,2021-08-13,5070,425,4760,5440,4760,25070827,9.14962325080732,제조업,KOSDAQ,8% 이상
바이오로그디바이스,2021-08-13,5150,240,4920,5400,4915,22132768,4.887983706720977,코스닥 IT,KOSDAQ,4 ~ 6%
서한,2021-08-13,2105,130,1980,2205,1960,18964370,6.582278481012659,건설,KOSDAQ,6 ~ 8%
DB,2021-08-13,1150,10,1190,1295,1130,18880408,0.8771929824561403,서비스업,KOSPI,0 ~ 2%
인성정보,2021-08-13,3200,-100,3435,3535,3110,16521350,-3.0303030303030303,코스닥 IT,KOSDAQ,-2 ~ -4%
판타지오,2021-08-13,108,-4,112,113,106,15777533,-3.571428571428571,오락·문화,KOSDAQ,-2 ~ -4%
브리지텍,2021-08-13,6360,460,6540,7060,6190,14900067,7.796610169491526,코스닥 IT,KOSDAQ,6 ~ 8%
이아이디,2021-08-13,511,-10,519,520,502,13333285,-1.9193857965451053,유통업,KOSPI,0 ~ -2%
쇼박스,2021-08-13,4620,465,4640,4895,4410,13082056,11.191335740072201,오락·문화,KOSDAQ,8% 이상
이트론,2021-08-13,674,-21,681,690,655,12455407,-3.0215827338129495,코스닥 IT,KOSDAQ,-2 ~ -4%
에이루트,2021-08-13,804,-41,829,844,784,11616649,-4.85207100591716,코스닥 IT,KOSDAQ,-4 ~ -6%
삼일,2021-08-13,4930,635,4640,5220,4640,10622626,14.78463329452852,운송,KOSDAQ,8% 이상
삼일기업공사,2021-08-13,9670,1470,8250,10500,8170,8650351,17.926829268292682,건설,KOSDAQ,8% 이상
대한전선,2021-08-13,2605,-70,2680,2700,2580,8351129,-2.6168224299065423,전기전자,KOSPI,-2 ~ -4%
우진비앤지,2021-08-13,3220,-70,3400,3415,3155,7804510,-2.127659574468085,제조업,KOSDAQ,-2 ~ -4%
신라섬유,2021-08-13,3110,110,2995,3445,2970,6846491,3.6666666666666665,유통,KOSDAQ,2 ~ 4%
에스코넥,2021-08-13,2280,-35,2340,2370,2210,6735909,-1.511879049676026,코스닥 IT,KOSDAQ,0 ~ -2%
SK하이닉스,2021-08-13,100000,-500,99600,100500,98900,6690555,-0.4975124378109453,전기전자,KOSPI,0 ~ -2%
코스모화학,2021-08-13,18450,100,18550,19400,17650,6537887,0.544959128065395,화학,KOSPI,0 ~ 2%
YG PLUS,2021-08-13,7940,40,7900,8190,7670,6224163,0.5063291139240507,서비스업,KOSPI,0 ~ 2%
팬오션,2021-08-13,7440,-310,7860,7900,7390,6085658,-4.0,운수창고업,KOSPI,-4 ~ -6%
제이엠아이,2021-08-13,2610,-130,2735,2980,2600,6076261,-4.744525547445255,제조업,KOSDAQ,-4 ~ -6%
TYM,2021-08-13,2385,15,2340,2425,2320,6027825,0.6329113924050633,기계,KOSPI,0 ~ 2%
나노엔텍,2021-08-13,9190,500,8740,9560,8710,5996377,5.7537399309551205,제조업,KOSDAQ,4 ~ 6%
상상인이안1호스팩,2021-08-13,4030,320,3730,4535,3710,5696105,8.62533692722372,금융,KOSDAQ,8% 이상
빅텍,2021-08-13,7080,-100,7130,7530,7070,5587657,-1.392757660167131,제조업,KOSDAQ,0 ~ -2%
켐온,2021-08-13,4225,75,4105,4420,4105,5574620,1.8072289156626504,기타서비스,KOSDAQ,0 ~ 2%
쌍방울,2021-08-13,731,-18,750,755,711,5499979,-2.403204272363151,섬유의복,KOSPI,-2 ~ -4%
비트컴퓨터,2021-08-13,11100,500,11850,12100,10850,5124151,4.716981132075472,코스닥 IT,KOSDAQ,4 ~ 6%
코디엠,2021-08-13,281,-7,288,292,270,5123405,-2.430555555555556,코스닥 IT,KOSDAQ,-2 ~ -4%
시너지이노베이션,2021-08-13,4220,-655,4820,4820,4160,5036409,-13.435897435897438,제조업,KOSDAQ,-8% 이하
삼성출판사,2021-08-13,50200,8650,42200,51500,41950,4963682,20.81829121540313,서비스업,KOSPI,8% 이상
대정화금,2021-08-13,35400,4700,31450,37000,31400,4951477,15.309446254071663,제조업,KOSDAQ,8% 이상
GH신소재,2021-08-13,9220,110,9110,9750,8850,4839751,1.2074643249176729,제조업,KOSDAQ,0 ~ 2%
지나인제약,2021-08-13,1415,-80,1495,1545,1385,4829529,-5.351170568561873,제조업,KOSDAQ,-4 ~ -6%
인스코비,2021-08-13,3825,50,3775,3940,3715,4708573,1.3245033112582782,통신업,KOSPI,0 ~ 2%
씨티씨바이오,2021-08-13,14150,1900,12000,14450,11900,4619407,15.510204081632653,제조업,KOSDAQ,8% 이상
