,날짜,종가,전일비,시가,고가,저가,거래량,등락률,카테고리,마켓,등락률그룹
대한전선,2021-08-05,2860,265,2635,3060,2580,151781406,10.211946050096339,전기전자,KOSPI,8% 이상
아즈텍WB,2021-08-05,5800,1335,4650,5800,4605,59507519,29.89921612541993,제조업,KOSDAQ,8% 이상
SM C&C,2021-08-05,6050,50,6100,6860,6050,59411898,0.8333333333333334,코스닥 IT,KOSDAQ,0 ~ 2%
해성옵틱스,2021-08-05,915,119,799,930,795,40388772,14.949748743718594,코스닥 IT,KOSDAQ,8% 이상
파인텍,2021-08-05,2000,460,1540,2000,1540,36359434,29.87012987012987,코스닥 IT,KOSDAQ,8% 이상
케이사인,2021-08-05,3095,150,3050,3160,2950,29652899,5.093378607809847,코스닥 IT,KOSDAQ,4 ~ 6%
코세스,2021-08-05,15850,2700,14150,16700,14000,25299734,20.53231939163498,코스닥 IT,KOSDAQ,8% 이상
덱스터,2021-08-05,14000,950,13350,15600,12900,25179329,7.2796934865900385,오락·문화,KOSDAQ,6 ~ 8%
LG헬로비전,2021-08-05,8140,650,7860,8750,7840,24532339,8.678237650200266,서비스업,KOSPI,8% 이상
SM Life Design,2021-08-05,3440,-65,3550,3720,3420,23747378,-1.8544935805991443,제조업,KOSDAQ,0 ~ -2%
에스넷,2021-08-05,10000,2090,7930,10250,7810,22836267,26.422250316055624,코스닥 IT,KOSDAQ,8% 이상
갤럭시아에스엠,2021-08-05,3105,715,2480,3105,2415,22635406,29.916317991631797,서비스업,KOSPI,8% 이상
럭슬,2021-08-05,82,-58,113,120,79,22446998,-41.42857142857143,제조업,KOSDAQ,-8% 이하
대성창투,2021-08-05,4445,115,4805,5090,4445,22175434,2.655889145496536,금융,KOSDAQ,2 ~ 4%
윈팩,2021-08-05,2840,175,2685,3025,2645,20927786,6.566604127579738,코스닥 IT,KOSDAQ,6 ~ 8%
디스플레이텍,2021-08-05,6810,1290,5570,7160,5490,20905113,23.369565217391305,코스닥 IT,KOSDAQ,8% 이상
드래곤플라이,2021-08-05,2765,410,2395,2975,2335,20213957,17.40976645435244,코스닥 IT,KOSDAQ,8% 이상
한국비엔씨,2021-08-05,22600,3150,20050,24300,19850,20092562,16.195372750642672,제조업,KOSDAQ,8% 이상
에스에이엠티,2021-08-05,5640,1295,4350,5640,4310,19831122,29.804372842347526,유통,KOSDAQ,8% 이상
팜스토리,2021-08-05,2625,75,2555,2765,2555,19729457,2.941176470588235,제조업,KOSDAQ,2 ~ 4%
지나인제약,2021-08-05,1660,-25,1655,1755,1600,17711039,-1.483679525222552,제조업,KOSDAQ,0 ~ -2%
