,날짜,종가,전일비,시가,고가,저가,거래량,등락률,카테고리,마켓,등락률그룹
대한전선,2021-08-05,2840,245,2635,3060,2580,154986973,9.441233140655106,전기전자,KOSPI,8% 이상
SM C&C,2021-08-05,6080,80,6100,6860,6030,60556358,1.3333333333333335,코스닥 IT,KOSDAQ,0 ~ 2%
아즈텍WB,2021-08-05,5800,1335,4650,5800,4605,59559093,29.89921612541993,제조업,KOSDAQ,8% 이상
해성옵틱스,2021-08-05,917,121,799,987,795,47025559,15.201005025125628,코스닥 IT,KOSDAQ,8% 이상
파인텍,2021-08-05,2000,460,1540,2000,1540,36377260,29.87012987012987,코스닥 IT,KOSDAQ,8% 이상
케이사인,2021-08-05,3125,180,3050,3160,2950,32982296,6.112054329371817,코스닥 IT,KOSDAQ,6 ~ 8%
코세스,2021-08-05,15850,2700,14150,16700,14000,26071512,20.53231939163498,코스닥 IT,KOSDAQ,8% 이상
덱스터,2021-08-05,14050,1000,13350,15600,12900,25604344,7.662835249042145,오락·문화,KOSDAQ,6 ~ 8%
LG헬로비전,2021-08-05,8150,660,7860,8750,7840,24769169,8.811748998664887,서비스업,KOSPI,8% 이상
럭슬,2021-08-05,85,-55,113,120,79,24552902,-39.285714285714285,제조업,KOSDAQ,-8% 이하
SM Life Design,2021-08-05,3430,-75,3550,3720,3420,24223928,-2.1398002853067046,제조업,KOSDAQ,-2 ~ -4%
에스넷,2021-08-05,10100,2190,7930,10250,7810,23777665,27.686472819216185,코스닥 IT,KOSDAQ,8% 이상
디스플레이텍,2021-08-05,6630,1110,5570,7160,5490,22792176,20.108695652173914,코스닥 IT,KOSDAQ,8% 이상
갤럭시아에스엠,2021-08-05,3105,715,2480,3105,2415,22638010,29.916317991631797,서비스업,KOSPI,8% 이상
대성창투,2021-08-05,4435,105,4805,5090,4435,22506133,2.424942263279446,금융,KOSDAQ,2 ~ 4%
윈팩,2021-08-05,2845,180,2685,3025,2645,21362404,6.75422138836773,코스닥 IT,KOSDAQ,6 ~ 8%
드래곤플라이,2021-08-05,2755,400,2395,2975,2335,20882085,16.985138004246284,코스닥 IT,KOSDAQ,8% 이상
한국비엔씨,2021-08-05,22800,3350,20050,24300,19850,20541662,17.223650385604113,제조업,KOSDAQ,8% 이상
팜스토리,2021-08-05,2650,100,2555,2765,2555,20381398,3.9215686274509802,제조업,KOSDAQ,2 ~ 4%
에스에이엠티,2021-08-05,5640,1295,4350,5640,4310,19896275,29.804372842347526,유통,KOSDAQ,8% 이상
삼성전자,2021-08-05,82100,-800,83300,83300,82000,18339969,-0.9650180940892641,전기전자,KOSPI,0 ~ -2%
지나인제약,2021-08-05,1650,-35,1655,1755,1600,18063848,-2.0771513353115725,제조업,KOSDAQ,-2 ~ -4%
이아이디,2021-08-05,527,0,525,535,524,15345570,0.0,유통업,KOSPI,0 ~ -2%
바이오로그디바이스,2021-08-05,5510,10,5440,5660,5360,13612350,0.18181818181818182,코스닥 IT,KOSDAQ,0 ~ 2%
인터파크,2021-08-05,9650,170,9350,9660,9200,13599388,1.7932489451476792,유통,KOSDAQ,0 ~ 2%
케이피엠테크,2021-08-05,3345,80,3320,3390,3245,12875724,2.4502297090352223,제조업,KOSDAQ,2 ~ 4%
옵트론텍,2021-08-05,9580,600,9040,9930,8930,12355001,6.6815144766147,코스닥 IT,KOSDAQ,6 ~ 8%
루멘스,2021-08-05,1545,185,1365,1685,1360,12197226,13.602941176470587,코스닥 IT,KOSDAQ,8% 이상
대원전선,2021-08-05,2590,105,2460,2710,2460,11743319,4.225352112676056,전기전자,KOSPI,4 ~ 6%
넥스트사이언스,2021-08-05,30700,4200,27600,31700,26850,11431737,15.849056603773585,없음,KOSPI,8% 이상
광전자,2021-08-05,2995,225,2770,3315,2750,11224579,8.12274368231047,전기전자,KOSPI,8% 이상
범양건영,2021-08-05,9030,820,8270,9520,8210,11038358,9.987819732034104,건설업,KOSPI,8% 이상
한창,2021-08-05,1630,-135,1765,1790,1590,10868223,-7.64872521246459,유통업,KOSPI,-6 ~ -8%
