,날짜,종가,전일비,시가,고가,저가,거래량,등락률,카테고리,마켓,등락률그룹
인터파크,2021-08-13,9430,1160,8900,9620,8510,58987515,14.026602176541717,유통,KOSDAQ,8% 이상
삼성전자,2021-08-13,74300,-2700,75800,76000,74100,43275145,-3.506493506493506,전기전자,KOSPI,-2 ~ -4%
대신정보통신,2021-08-13,2830,255,2565,3095,2550,39050073,9.902912621359224,코스닥 IT,KOSDAQ,8% 이상
토박스코리아,2021-08-13,1775,225,1615,1845,1475,38055622,14.516129032258066,유통,KOSDAQ,8% 이상
경남스틸,2021-08-13,5000,355,4760,5440,4760,26127777,7.642626480086114,제조업,KOSDAQ,6 ~ 8%
바이오로그디바이스,2021-08-13,5120,210,4920,5400,4915,23467554,4.276985743380855,코스닥 IT,KOSDAQ,4 ~ 6%
서한,2021-08-13,2060,85,1980,2205,1960,20011408,4.30379746835443,건설,KOSDAQ,4 ~ 6%
DB,2021-08-13,1140,0,1190,1295,1130,19414026,0.0,서비스업,KOSPI,0 ~ -2%
인성정보,2021-08-13,3195,-105,3435,3535,3110,17043839,-3.1818181818181817,코스닥 IT,KOSDAQ,-2 ~ -4%
쇼박스,2021-08-13,4560,405,4640,4895,4410,16658904,9.747292418772563,오락·문화,KOSDAQ,8% 이상
판타지오,2021-08-13,108,-4,112,113,106,16513756,-3.571428571428571,오락·문화,KOSDAQ,-2 ~ -4%
브리지텍,2021-08-13,6310,410,6540,7060,6190,15381436,6.9491525423728815,코스닥 IT,KOSDAQ,6 ~ 8%
이아이디,2021-08-13,508,-13,519,520,502,14841781,-2.495201535508637,유통업,KOSPI,-2 ~ -4%
이트론,2021-08-13,672,-23,681,690,655,13127700,-3.3093525179856114,코스닥 IT,KOSDAQ,-2 ~ -4%
에이루트,2021-08-13,811,-34,829,844,784,12637336,-4.023668639053255,코스닥 IT,KOSDAQ,-4 ~ -6%
삼일,2021-08-13,4790,495,4640,5220,4640,11380371,11.525029103608848,운송,KOSDAQ,8% 이상
삼일기업공사,2021-08-13,9610,1410,8250,10500,8170,9487737,17.195121951219512,건설,KOSDAQ,8% 이상
대한전선,2021-08-13,2605,-70,2680,2700,2580,9277555,-2.6168224299065423,전기전자,KOSPI,-2 ~ -4%
제이엠아이,2021-08-13,2625,-115,2735,2980,2465,8308660,-4.197080291970803,제조업,KOSDAQ,-4 ~ -6%
우진비앤지,2021-08-13,3200,-90,3400,3415,3155,8172122,-2.735562310030395,제조업,KOSDAQ,-2 ~ -4%
에스코넥,2021-08-13,2275,-40,2340,2370,2210,7997318,-1.7278617710583155,코스닥 IT,KOSDAQ,0 ~ -2%
SK하이닉스,2021-08-13,100000,-500,99600,100500,98900,7768957,-0.4975124378109453,전기전자,KOSPI,0 ~ -2%
코스모화학,2021-08-13,18800,450,18550,19400,17650,7620245,2.452316076294278,화학,KOSPI,2 ~ 4%
신라섬유,2021-08-13,3110,110,2995,3445,2970,7088513,3.6666666666666665,유통,KOSDAQ,2 ~ 4%
나노엔텍,2021-08-13,9160,470,8740,9560,8710,6858601,5.408515535097814,제조업,KOSDAQ,4 ~ 6%
삼성출판사,2021-08-13,50700,9150,42200,51500,41950,6670907,22.021660649819495,서비스업,KOSPI,8% 이상
YG PLUS,2021-08-13,7810,-90,7900,8190,7670,6607684,-1.139240506329114,서비스업,KOSPI,0 ~ -2%
팬오션,2021-08-13,7430,-320,7860,7900,7390,6593960,-4.129032258064516,운수창고업,KOSPI,-4 ~ -6%
TYM,2021-08-13,2380,10,2340,2425,2320,6535581,0.42194092827004215,기계,KOSPI,0 ~ 2%
상상인이안1호스팩,2021-08-13,4105,395,3730,4535,3710,6149185,10.646900269541778,금융,KOSDAQ,8% 이상
시너지이노베이션,2021-08-13,4175,-700,4820,4820,4130,6112289,-14.358974358974358,제조업,KOSDAQ,-8% 이하
지나인제약,2021-08-13,1410,-85,1495,1545,1380,6083507,-5.68561872909699,제조업,KOSDAQ,-4 ~ -6%
인스코비,2021-08-13,3900,125,3775,3940,3715,6004380,3.3112582781456954,통신업,KOSPI,2 ~ 4%
씨티씨바이오,2021-08-13,13850,1600,12000,14500,11900,5995598,13.061224489795919,제조업,KOSDAQ,8% 이상
쌍방울,2021-08-13,730,-19,750,755,711,5991337,-2.53671562082777,섬유의복,KOSPI,-2 ~ -4%
켐온,2021-08-13,4235,85,4105,4420,4105,5954702,2.0481927710843375,기타서비스,KOSDAQ,2 ~ 4%
빅텍,2021-08-13,7130,-50,7130,7530,7070,5802297,-0.6963788300835655,제조업,KOSDAQ,0 ~ -2%
대정화금,2021-08-13,34750,4050,31450,37000,31400,5545591,13.192182410423452,제조업,KOSDAQ,8% 이상
코디엠,2021-08-13,280,-8,288,292,270,5533883,-2.7777777777777777,코스닥 IT,KOSDAQ,-2 ~ -4%
비트컴퓨터,2021-08-13,11050,450,11850,12100,10850,5259755,4.245283018867925,코스닥 IT,KOSDAQ,4 ~ 6%
시스웍,2021-08-13,2310,-120,2475,2490,2280,5154218,-4.938271604938271,제조업,KOSDAQ,-4 ~ -6%
GH신소재,2021-08-13,9220,110,9110,9750,8850,4963331,1.2074643249176729,제조업,KOSDAQ,0 ~ 2%
신원,2021-08-13,2235,15,2210,2265,2165,4930423,0.6756756756756757,섬유의복,KOSPI,0 ~ 2%
엠로,2021-08-13,30200,4200,32700,39800,30100,4902283,16.153846153846153,없음,KONEX,8% 이상
에스엘바이오닉스,2021-08-13,966,-139,1005,1035,936,4888582,-12.57918552036199,코스닥 IT,KOSDAQ,-8% 이하
광진윈텍,2021-08-13,9110,740,8370,9860,8300,4790603,8.841099163679809,제조업,KOSDAQ,8% 이상
팍스넷,2021-08-13,626,-274,672,788,626,4741619,-30.444444444444446,금융,KOSDAQ,-8% 이하
SK증권,2021-08-13,943,-33,979,979,935,4611419,-3.3811475409836067,금융업,KOSPI,-2 ~ -4%
카카오게임즈,2021-08-13,76600,-2200,77200,78000,73500,4512785,-2.7918781725888326,코스닥 IT,KOSDAQ,-2 ~ -4%
우리종금,2021-08-13,965,-19,984,986,953,4510357,-1.9308943089430894,금융업,KOSPI,0 ~ -2%
한국선재,2021-08-13,6770,50,6720,7080,6710,4471181,0.744047619047619,제조업,KOSDAQ,0 ~ 2%
씨아이에스,2021-08-13,12500,450,12100,12700,11950,4415718,3.7344398340248963,제조업,KOSDAQ,2 ~ 4%
두산중공업,2021-08-13,20800,-900,21800,21850,20500,4359672,-4.147465437788019,기계,KOSPI,-4 ~ -6%
DB하이텍,2021-08-13,62200,-2100,65100,69500,61900,4214667,-3.265940902021773,전기전자,KOSPI,-2 ~ -4%
LG헬로비전,2021-08-13,8480,-210,8970,9050,8310,4118235,-2.4165707710011506,서비스업,KOSPI,-2 ~ -4%
우리기술,2021-08-13,2225,-50,2280,2295,2150,4108600,-2.197802197802198,제조업,KOSDAQ,-2 ~ -4%
아이에이,2021-08-13,1130,-45,1175,1175,1110,4095752,-3.829787234042553,코스닥 IT,KOSDAQ,-2 ~ -4%
디엔에이링크,2021-08-13,5590,560,5030,5870,4985,4044383,11.133200795228628,기타서비스,KOSDAQ,8% 이상
HMM,2021-08-13,39600,-1050,41250,41800,39400,4008181,-2.5830258302583027,운수창고업,KOSPI,-2 ~ -4%
이씨에스,2021-08-13,8340,10,8370,8950,8120,3829652,0.12004801920768307,코스닥 IT,KOSDAQ,0 ~ 2%
서린바이오,2021-08-13,27200,1400,25400,27800,25400,3645806,5.426356589147287,유통,KOSDAQ,4 ~ 6%
KMH하이텍,2021-08-13,2080,-150,2205,2220,2055,3627773,-6.726457399103139,코스닥 IT,KOSDAQ,-6 ~ -8%
삼성중공업,2021-08-13,6180,-160,6300,6430,6150,3583981,-2.5236593059936907,운수장비,KOSPI,-2 ~ -4%
에스맥,2021-08-13,1270,-60,1325,1335,1255,3397079,-4.511278195488721,코스닥 IT,KOSDAQ,-4 ~ -6%
아이엠,2021-08-13,1345,-70,1395,1400,1305,3364110,-4.946996466431095,코스닥 IT,KOSDAQ,-4 ~ -6%
세종텔레콤,2021-08-13,646,-20,668,671,630,3353451,-3.003003003003003,코스닥 IT,KOSDAQ,-2 ~ -4%
홈센타홀딩스,2021-08-13,1290,-5,1310,1340,1270,3312165,-0.3861003861003861,유통,KOSDAQ,0 ~ -2%
에이비프로바이오,2021-08-13,1180,-30,1215,1220,1150,3218825,-2.479338842975207,제조업,KOSDAQ,-2 ~ -4%
에스에이엠티,2021-08-13,5690,20,5650,5750,5450,3201472,0.3527336860670194,유통,KOSDAQ,0 ~ 2%
사조동아원,2021-08-13,1465,-45,1515,1530,1415,3085436,-2.980132450331126,음식료품,KOSPI,-2 ~ -4%
유진로봇,2021-08-13,4185,205,4035,4395,4025,3057944,5.150753768844221,제조업,KOSDAQ,4 ~ 6%
한화플러스제1호스팩,2021-08-13,3875,-5,3800,4170,3700,3048155,-0.12886597938144329,금융,KOSDAQ,0 ~ -2%
신일전자,2021-08-13,1925,-45,1970,1985,1885,3023152,-2.284263959390863,유통업,KOSPI,-2 ~ -4%
시그네틱스,2021-08-13,1705,-110,1800,1805,1650,2946029,-6.0606060606060606,코스닥 IT,KOSDAQ,-6 ~ -8%
모트렉스,2021-08-13,6930,-130,7070,7080,6700,2898194,-1.8413597733711047,제조업,KOSDAQ,0 ~ -2%
대영포장,2021-08-13,3140,0,3145,3215,3095,2876295,0.0,종이목재,KOSPI,0 ~ -2%
WI,2021-08-13,1865,20,1820,1925,1785,2785162,1.084010840108401,제조업,KOSDAQ,0 ~ 2%
LG디스플레이,2021-08-13,20800,-750,21550,21550,20650,2783451,-3.480278422273782,전기전자,KOSPI,-2 ~ -4%
인베니아,2021-08-13,3000,100,2995,3290,2900,2738997,3.4482758620689653,제조업,KOSDAQ,2 ~ 4%
한솔로지스틱스,2021-08-13,4735,-205,4890,4915,4660,2702632,-4.149797570850203,운수창고업,KOSPI,-4 ~ -6%
신풍제약,2021-08-13,68300,-3500,72000,73500,67700,2671597,-4.874651810584958,의약품,KOSPI,-4 ~ -6%
영우디에스피,2021-08-13,2930,-90,3010,3045,2875,2646877,-2.980132450331126,코스닥 IT,KOSDAQ,-2 ~ -4%
SM C&C,2021-08-13,5080,-230,5220,5240,4985,2636501,-4.3314500941619585,코스닥 IT,KOSDAQ,-4 ~ -6%
아난티,2021-08-13,10400,100,10300,10550,10000,2612471,0.9708737864077669,없음,KOSDAQ,0 ~ 2%
동양철관,2021-08-13,1605,-50,1645,1660,1565,2611768,-3.0211480362537766,철강금속,KOSPI,-2 ~ -4%
한국정보인증,2021-08-13,8260,570,7670,8430,7450,2603851,7.412223667100131,코스닥 IT,KOSDAQ,6 ~ 8%
새로닉스,2021-08-13,16650,100,17200,18200,16000,2593884,0.6042296072507553,코스닥 IT,KOSDAQ,0 ~ 2%
아남전자,2021-08-13,2940,-160,3100,3105,2895,2591239,-5.161290322580645,전기전자,KOSPI,-4 ~ -6%
파인텍,2021-08-13,1850,-80,1920,1920,1810,2567143,-4.145077720207254,코스닥 IT,KOSDAQ,-4 ~ -6%
대한해운,2021-08-13,2845,-110,2960,2995,2845,2566080,-3.7225042301184432,운수창고업,KOSPI,-2 ~ -4%
SDN,2021-08-13,2770,20,2750,2870,2705,2542004,0.7272727272727273,유통,KOSDAQ,0 ~ 2%
이랜텍,2021-08-13,8360,170,8330,8600,8020,2523917,2.0757020757020754,코스닥 IT,KOSDAQ,2 ~ 4%
한화시스템,2021-08-13,18000,-100,18100,18300,17500,2519713,-0.5524861878453038,전기전자,KOSPI,0 ~ -2%
서희건설,2021-08-13,2045,-60,2105,2105,1980,2505765,-2.8503562945368173,건설,KOSDAQ,-2 ~ -4%
한송네오텍,2021-08-13,1995,-85,2070,2120,1950,2501914,-4.086538461538462,제조업,KOSDAQ,-4 ~ -6%
한화에스비아이스팩,2021-08-13,5360,170,5550,5730,5220,2473653,3.275529865125241,금융,KOSDAQ,2 ~ 4%
삼강엠앤티,2021-08-13,19900,900,19300,20150,18750,2468099,4.736842105263158,제조업,KOSDAQ,4 ~ 6%
리더스 기술투자,2021-08-13,820,-34,854,855,797,2465677,-3.9812646370023423,금융,KOSDAQ,-2 ~ -4%
SFA반도체,2021-08-13,6900,-300,7130,7170,6790,2447597,-4.166666666666666,코스닥 IT,KOSDAQ,-4 ~ -6%
보해양조,2021-08-13,1055,-50,1105,1110,1025,2446416,-4.524886877828054,음식료품,KOSPI,-4 ~ -6%
KNN,2021-08-13,1810,5,1810,1885,1800,2428202,0.2770083102493075,코스닥 IT,KOSDAQ,0 ~ 2%
일신석재,2021-08-13,2565,5,2545,2600,2455,2341946,0.1953125,유통업,KOSPI,0 ~ 2%
엠케이전자,2021-08-13,22250,250,21850,23400,21000,2315067,1.1363636363636365,코스닥 IT,KOSDAQ,0 ~ 2%
마니커,2021-08-13,635,-24,659,663,625,2299516,-3.6418816388467374,음식료품,KOSPI,-2 ~ -4%
에이엔피,2021-08-13,2565,85,2480,2630,2445,2282300,3.4274193548387095,전기전자,KOSPI,2 ~ 4%
원방테크,2021-08-13,72000,15400,64800,73400,64200,2281013,27.208480565371023,제조업,KOSDAQ,8% 이상
썸에이지,2021-08-13,3565,-230,3795,3800,3495,2273398,-6.0606060606060606,제조업,KOSDAQ,-6 ~ -8%
SK바이오사이언스,2021-08-13,284500,-1000,281500,294500,274500,2258820,-0.3502626970227671,의약품,KOSPI,0 ~ -2%
골든센츄리,2021-08-13,425,-15,445,445,417,2242761,-3.4090909090909087,없음,KOSDAQ,-2 ~ -4%
대아티아이,2021-08-13,6590,160,6430,6620,6300,2241085,2.488335925349922,제조업,KOSDAQ,2 ~ 4%
에코프로,2021-08-13,108400,500,110000,115100,103500,2237853,0.46339202965708987,코스닥 IT,KOSDAQ,0 ~ 2%
삼부토건,2021-08-13,3000,-100,3050,3115,2965,2237199,-3.225806451612903,건설업,KOSPI,-2 ~ -4%
삼성엔지니어링,2021-08-13,23100,-400,23550,23750,22350,2233937,-1.702127659574468,서비스업,KOSPI,0 ~ -2%
한솔홈데코,2021-08-13,2020,-60,2090,2105,1980,2233440,-2.8846153846153846,종이목재,KOSPI,-2 ~ -4%
피에이치씨,2021-08-13,2130,-75,2225,2225,2095,2201707,-3.4013605442176873,유통,KOSDAQ,-2 ~ -4%
제넨바이오,2021-08-13,1890,5,1900,1945,1870,2193242,0.2652519893899204,유통,KOSDAQ,0 ~ 2%
윌비스,2021-08-13,2115,-55,2160,2170,2020,2172041,-2.5345622119815667,유통업,KOSPI,-2 ~ -4%
팜스토리,2021-08-13,2265,-55,2325,2345,2220,2155598,-2.3706896551724137,제조업,KOSDAQ,-2 ~ -4%
올리패스,2021-08-13,14950,700,14750,15800,14650,2134488,4.912280701754386,제조업,KOSDAQ,4 ~ 6%
한화생명,2021-08-13,3450,-40,3495,3530,3415,2132494,-1.146131805157593,금융업,KOSPI,0 ~ -2%
케이사인,2021-08-13,2690,-45,2760,2765,2635,2104710,-1.6453382084095063,코스닥 IT,KOSDAQ,0 ~ -2%
에스엠코어,2021-08-13,8640,390,8270,8730,8210,2104377,4.7272727272727275,제조업,KOSDAQ,4 ~ 6%
골드퍼시픽,2021-08-13,1495,-45,1535,1550,1435,2086270,-2.922077922077922,유통,KOSDAQ,-2 ~ -4%
애니젠,2021-08-13,21650,900,21550,25500,20500,2080542,4.337349397590361,제조업,KOSDAQ,4 ~ 6%
초록뱀미디어,2021-08-13,2510,-25,2540,2565,2465,2076792,-0.9861932938856016,오락·문화,KOSDAQ,0 ~ -2%
