,날짜,종가,전일비,시가,고가,저가,거래량,등락률,카테고리,마켓,등락률그룹
TYM,2021-08-06,2610,480,2170,2735,2150,149449091,22.535211267605636,기계,KOSPI,8% 이상
신원,2021-08-06,2645,415,2265,2775,2245,117095164,18.609865470852018,섬유의복,KOSPI,8% 이상
시스웍,2021-08-06,2470,145,2370,2655,2365,78157255,6.236559139784946,제조업,KOSDAQ,6 ~ 8%
에스에이엠티,2021-08-06,5890,250,6170,6690,5720,61515209,4.432624113475177,유통,KOSDAQ,4 ~ 6%
카카오뱅크,2021-08-06,69800,16100,53700,69800,51000,59340894,0.0,없음,KOSPI,0 ~ -2%
한송네오텍,2021-08-06,2180,95,2070,2355,2025,50429280,4.556354916067146,제조업,KOSDAQ,4 ~ 6%
보락,2021-08-06,2620,0,2720,2905,2605,42517234,0.0,화학,KOSPI,0 ~ -2%
아즈텍WB,2021-08-06,6090,290,6010,6870,5840,41088290,5.0,제조업,KOSDAQ,4 ~ 6%
콤텍시스템,2021-08-06,1335,35,1300,1435,1275,37393799,2.6923076923076925,서비스업,KOSPI,2 ~ 4%
케이사인,2021-08-06,3080,-45,3220,3380,3075,36021066,-1.44,코스닥 IT,KOSDAQ,0 ~ -2%
파인텍,2021-08-06,2035,35,2150,2170,1925,34053908,1.7500000000000002,코스닥 IT,KOSDAQ,0 ~ 2%
대한전선,2021-08-06,2740,-100,2845,2855,2690,32950380,-3.5211267605633805,전기전자,KOSPI,-2 ~ -4%
럭슬,2021-08-06,46,-39,63,63,44,31209882,-45.88235294117647,제조업,KOSDAQ,-8% 이하
사조동아원,2021-08-06,1635,125,1515,1650,1500,29497589,8.27814569536424,음식료품,KOSPI,8% 이상
갤럭시아에스엠,2021-08-06,3110,5,3240,3470,3015,27088375,0.1610305958132045,서비스업,KOSPI,0 ~ 2%
SM C&C,2021-08-06,6110,30,5950,6530,5760,25838615,0.4934210526315789,코스닥 IT,KOSDAQ,0 ~ 2%
켐트로스,2021-08-06,8550,900,7700,8890,7580,24837390,11.76470588235294,제조업,KOSDAQ,8% 이상
일신석재,2021-08-06,3005,95,2945,3125,2930,24725720,3.264604810996564,유통업,KOSPI,2 ~ 4%
버킷스튜디오,2021-08-06,2645,270,2420,2870,2385,23855987,11.368421052631579,코스닥 IT,KOSDAQ,8% 이상
드래곤플라이,2021-08-06,3160,405,2795,3495,2705,22015075,14.700544464609798,코스닥 IT,KOSDAQ,8% 이상
인디에프,2021-08-06,1855,200,1680,1945,1660,21803060,12.084592145015106,섬유의복,KOSPI,8% 이상
조아제약,2021-08-06,5030,175,4830,5420,4825,17245072,3.604531410916581,제조업,KOSDAQ,2 ~ 4%
바이오로그디바이스,2021-08-06,5360,-150,5400,5840,5210,16987576,-2.722323049001815,코스닥 IT,KOSDAQ,-2 ~ -4%
이아이디,2021-08-06,520,-7,531,532,520,16313603,-1.3282732447817838,유통업,KOSPI,0 ~ -2%
에이비프로바이오,2021-08-06,1215,75,1145,1250,1145,15271592,6.578947368421052,제조업,KOSDAQ,6 ~ 8%
아남전자,2021-08-06,3430,120,3370,3480,3220,15162808,3.625377643504532,전기전자,KOSPI,2 ~ 4%
아난티,2021-08-06,12000,750,11550,12200,11450,15071208,6.666666666666667,없음,KOSDAQ,6 ~ 8%
한화플러스제2호스팩,2021-08-06,6200,1000,5350,6760,5350,14818652,19.230769230769234,금융,KOSDAQ,8% 이상
바른손,2021-08-06,3100,240,2855,3540,2850,14715090,8.391608391608392,유통,KOSDAQ,8% 이상
삼성전자,2021-08-06,81500,-600,81900,82500,81300,13284987,-0.730816077953715,전기전자,KOSPI,0 ~ -2%
이디티,2021-08-06,3165,225,2945,3440,2945,12792772,7.653061224489796,제조업,KOSDAQ,6 ~ 8%
IBKS제14호스팩,2021-08-06,3855,1575,3190,4135,2790,12581105,69.07894736842105,금융,KOSDAQ,8% 이상
코세스,2021-08-06,16050,200,15850,17350,15250,12096763,1.2618296529968454,코스닥 IT,KOSDAQ,0 ~ 2%
팜스토리,2021-08-06,2670,20,2640,2720,2575,10807409,0.7547169811320755,제조업,KOSDAQ,0 ~ 2%
상상인이안1호스팩,2021-08-06,4675,2475,4400,5470,3665,10554515,112.5,금융,KOSDAQ,8% 이상
대아티아이,2021-08-06,7150,220,7060,7300,6990,10310626,3.1746031746031744,제조업,KOSDAQ,2 ~ 4%
덱스터,2021-08-06,15050,1000,13850,15150,13450,10265362,7.11743772241993,오락·문화,KOSDAQ,6 ~ 8%
예스24,2021-08-06,14800,-100,14600,15550,13400,10169207,-0.6711409395973155,코스닥 IT,KOSDAQ,0 ~ -2%
지나인제약,2021-08-06,1640,-10,1615,1690,1535,10157210,-0.6060606060606061,제조업,KOSDAQ,0 ~ -2%
서린바이오,2021-08-06,25000,2000,26600,28250,25000,9991366,8.695652173913043,유통,KOSDAQ,8% 이상
바른손이앤에이,2021-08-06,1515,55,1480,1640,1450,9933080,3.767123287671233,오락·문화,KOSDAQ,2 ~ 4%
시너지이노베이션,2021-08-06,5050,50,5700,5740,5050,9400971,1.0,제조업,KOSDAQ,0 ~ 2%
아이엠,2021-08-06,1415,-55,1470,1470,1395,9014881,-3.741496598639456,코스닥 IT,KOSDAQ,-2 ~ -4%
판타지오,2021-08-06,120,-1,121,122,119,8827357,-0.8264462809917356,오락·문화,KOSDAQ,0 ~ -2%
인터파크,2021-08-06,9040,-610,9350,9450,9040,8082391,-6.321243523316062,유통,KOSDAQ,-6 ~ -8%
아세아텍,2021-08-06,3475,145,3340,3815,3340,8022305,4.354354354354354,제조업,KOSDAQ,4 ~ 6%
효성오앤비,2021-08-06,12500,1300,11250,13400,11250,7975952,11.607142857142858,제조업,KOSDAQ,8% 이상
SM Life Design,2021-08-06,3370,-60,3385,3540,3295,7818126,-1.749271137026239,제조업,KOSDAQ,0 ~ -2%
해성옵틱스,2021-08-06,877,-40,915,915,863,7700927,-4.362050163576881,코스닥 IT,KOSDAQ,-4 ~ -6%
