,날짜,종가,전일비,시가,고가,저가,거래량,등락률,카테고리,마켓,등락률그룹
우진비앤지,2021-08-12,3290,585,3095,3515,3065,62051763,21.626617375231053,제조업,KOSDAQ,8% 이상
삼성전자,2021-08-12,77000,-1500,77100,78200,76900,42112493,-1.910828025477707,전기전자,KOSPI,0 ~ -2%
대한전선,2021-08-12,2675,50,2655,2820,2630,32691453,1.9047619047619049,전기전자,KOSPI,0 ~ 2%
경남스틸,2021-08-12,4645,420,4305,5100,4280,29666813,9.940828402366863,제조업,KOSDAQ,8% 이상
YG PLUS,2021-08-12,7900,1050,7250,8120,7060,27531776,15.328467153284672,서비스업,KOSPI,8% 이상
아즈텍WB,2021-08-12,5490,270,5510,6090,5310,23414536,5.172413793103448,제조업,KOSDAQ,4 ~ 6%
코스모화학,2021-08-12,18350,3250,15000,19550,14950,22391191,21.52317880794702,화학,KOSPI,8% 이상
삼일,2021-08-12,4295,795,3470,4550,3465,21333997,22.714285714285715,운송,KOSDAQ,8% 이상
이아이디,2021-08-12,521,4,520,535,517,20257128,0.7736943907156674,유통업,KOSPI,0 ~ 2%
에이루트,2021-08-12,845,-57,893,906,840,19712562,-6.319290465631928,코스닥 IT,KOSDAQ,-6 ~ -8%
모트렉스,2021-08-12,7060,760,6260,7170,6260,19537294,12.063492063492063,제조업,KOSDAQ,8% 이상
SK하이닉스,2021-08-12,100500,-5000,102000,104000,99800,18931912,-4.739336492890995,전기전자,KOSPI,-4 ~ -6%
KMH하이텍,2021-08-12,2230,90,2245,2330,2145,16784627,4.205607476635514,코스닥 IT,KOSDAQ,4 ~ 6%
신풍제약,2021-08-12,71800,7100,67000,78300,65100,16209022,10.973724884080372,의약품,KOSPI,8% 이상
인성정보,2021-08-12,3300,20,3155,3355,3100,16056775,0.6097560975609756,코스닥 IT,KOSDAQ,0 ~ 2%
지나인제약,2021-08-12,1495,-40,1470,1645,1460,14120650,-2.6058631921824107,제조업,KOSDAQ,-2 ~ -4%
바이오로그디바이스,2021-08-12,4910,-390,5400,5420,4850,13426317,-7.3584905660377355,코스닥 IT,KOSDAQ,-6 ~ -8%
신성델타테크,2021-08-12,21000,2200,19000,22600,18800,12877013,11.702127659574469,제조업,KOSDAQ,8% 이상
판타지오,2021-08-12,112,-1,113,113,111,12795418,-0.8849557522123894,오락·문화,KOSDAQ,0 ~ -2%
한화시스템,2021-08-12,18100,1300,16950,18950,16900,12604839,7.738095238095238,전기전자,KOSPI,6 ~ 8%
이트론,2021-08-12,695,-1,704,717,693,12098983,-0.14367816091954022,코스닥 IT,KOSDAQ,0 ~ -2%
제이엠아이,2021-08-12,2740,390,2380,2880,2340,11942398,16.595744680851062,제조업,KOSDAQ,8% 이상
LG헬로비전,2021-08-12,8690,380,8300,8860,8300,11940891,4.57280385078219,서비스업,KOSPI,4 ~ 6%
켐온,2021-08-12,4150,-220,4610,4635,4150,11688983,-5.034324942791762,기타서비스,KOSDAQ,-4 ~ -6%
신원,2021-08-12,2220,-95,2300,2395,2180,11549691,-4.103671706263499,섬유의복,KOSPI,-4 ~ -6%
인스코비,2021-08-12,3775,265,3595,3940,3595,11460841,7.54985754985755,통신업,KOSPI,6 ~ 8%
시스웍,2021-08-12,2430,-190,2575,2600,2420,10706469,-7.251908396946565,제조업,KOSDAQ,-6 ~ -8%
한국선재,2021-08-12,6720,90,6810,7290,6690,10682929,1.3574660633484164,제조업,KOSDAQ,0 ~ 2%
팍스넷,2021-08-12,900,80,1200,1200,800,10555509,9.75609756097561,금융,KOSDAQ,8% 이상
TYM,2021-08-12,2370,-90,2460,2515,2350,10349256,-3.6585365853658534,기계,KOSPI,-2 ~ -4%
한솔로지스틱스,2021-08-12,4940,-70,4940,4980,4750,10029831,-1.3972055888223553,운수창고업,KOSPI,0 ~ -2%
한화플러스제1호스팩,2021-08-12,3880,205,3510,4275,3485,9581347,5.578231292517007,금융,KOSDAQ,4 ~ 6%
새로닉스,2021-08-12,16550,3150,13250,17350,13150,9535072,23.507462686567166,코스닥 IT,KOSDAQ,8% 이상
아이앤씨,2021-08-12,4940,290,4660,5220,4605,9442217,6.236559139784946,코스닥 IT,KOSDAQ,6 ~ 8%
비디아이,2021-08-12,3570,335,3700,4045,3525,8822753,10.35548686244204,제조업,KOSDAQ,8% 이상
엠케이전자,2021-08-12,22000,3350,18800,23750,18750,8674861,17.962466487935657,코스닥 IT,KOSDAQ,8% 이상
제이준코스메틱,2021-08-12,1650,-155,1510,1710,1505,8442230,-8.587257617728532,화학,KOSPI,-8% 이하
엔브이에이치코리아,2021-08-12,5140,225,5120,5480,4980,8374843,4.5778229908443535,제조업,KOSDAQ,4 ~ 6%
DB,2021-08-12,1140,30,1110,1220,1080,7995239,2.7027027027027026,서비스업,KOSPI,2 ~ 4%
두산중공업,2021-08-12,21700,350,21450,22250,21400,7916796,1.639344262295082,기계,KOSPI,0 ~ 2%
에이엔피,2021-08-12,2480,300,2180,2690,2180,7567397,13.761467889908257,전기전자,KOSPI,8% 이상
팬오션,2021-08-12,7750,220,7620,7780,7390,7272213,2.921646746347941,운수창고업,KOSPI,2 ~ 4%
인터파크,2021-08-12,8270,120,8180,8680,8170,6634931,1.4723926380368098,유통,KOSDAQ,0 ~ 2%
에코프로,2021-08-12,107900,6900,101600,117500,101600,6377509,6.831683168316832,코스닥 IT,KOSDAQ,6 ~ 8%
에이티넘인베스트,2021-08-12,4500,40,4575,4820,4485,6123812,0.8968609865470852,금융,KOSDAQ,0 ~ 2%
